id,created_at,updated_at,name,Name Portuguese,Name Spanish,body,body Portuguese,body Spanish
21,2018-08-23 20:56:31,2019-02-08 11:49:28,Hashimoto's Disease,Doença de Hashimoto,Enfermedad de Hashimoto,"Choose from the three following protocols or use progressively over time. 

Protocol 1 - Place 40 drops each Balance® and geranium in a 10 ml roller bottle with carrier oil. Place 34 drops lemongrass and 40 myrrh in a different 10 ml roller bottle with carrier oil. Shake each blend after adding to roller bottle. Alternate the two combinations weekly. Apply directly to thyroid area and reflex points on big toe and thumb multiple times per day.

Protocol 2 - Place 25 drops lemongrass, 25 drops clove, 10 drops frankincense, and 4 drops peppermint in 10 ml roller bottle and fill with fractionated coconut oil. Apply topically to thyroid and reflexology points three times daily.

Protocol 3 - Apply 2-3 drops of frankincense and 1 drop peppermint topically to thyroid and reflexology points three times daily to reduce goiter size.","Escolha a partir dos três protocolos ou use progressivamente com o passar do tempo. Protolo 1 - Coloca 40 cápsulas de Balance® e gerânio em um frasco de 10ml com óleo veicular. Coloque 34 gotas de citronela e 40 mirras em um outro frasco de 10ml com óleo veicular. Agite cada mistura após colocá-las nos frascos. Alterne as duas combinações diariamente. Aplique diretamente na área de tireoide e em pontos de reflexo nos polegares e nos dedões do pé várias vezes ao dia. Protocolo 2- Coloque 25 gotas de citronela, 25 cravos, 10 gotas de olíbano e 4 gotas de hortelã em um frasco de 10ml e complete o conteúdo com óleo de coco fracionado. Aplique na tireoide e em pontos de reflexo três vezes ao dia. Protocolo 3 - Aplique de 2 a 3 gotas de olíbano e 1 gota de hortelã na tireoide e pontos de reflexo três vezes ao dia para diminuir o tamanho do bócio.","Elegir entre los tres protocolos siguientes o usar progresivamente con el tiempo. Protocolo 1: Colocar 40 gotas de cada Balance® y geranio en una botella roll-on de 10 ml con aceite portador. Colocar 34 gotas de lemongrass y 40 de mirra en una botella roll-on de 10 ml diferente con aceite portador. Agitar cada mezcla después de agregarlas a la botella roll-on. Alternar las dos combinaciones cada semana. Aplicar directamente sobre el área de la tiroides y los puntos reflejos en el dedo gordo del pie y el pulgar varias veces al día. Protocolo 2: Colocar 25 gotas de lemongrass, 25 gotas de clavo de olor, 10 gotas de incienso y 4 gotas de menta en una botella roll-on de 10 ml y completar con aceite de coco fraccionado. Aplicar de forma tópica a la tiroides y los puntos de reflexología tres veces al día. Protocolo 3: Aplicar 2-3 gotas de incienso y 1 gota de menta de forma tópica a la tiroides y los puntos de reflexología tres veces al día para reducir el tamaño del bocio."
22,2018-08-23 20:59:31,2019-02-08 11:49:28,High Blood Sugar Reducer,Redutor de açúcar no sangue elevado,Reductor de contenido alto de azúcar en la sangre,Take suggested oils 2-3 times per day in a capsule.,Tome os óleos sugeridos em cápsulas de 2 a 3 vezes por dia .,Tomar los aceites sugeridos 2-3 veces al día en una cápsula.
23,2018-08-23 21:01:27,2019-02-08 11:49:28,Low Blood Sugar,Baixo teor de açúcar no sangue,Baja azúcar en la sangre,"Apply suggested oils to the chest and reflexology points on feet and hands (dilute if needed), or diffuse.","Aplique os óleos sugeridos no peito e pontos de reflexo nos pés e nas mãos (dilua, se necessário), ou os disperse.","Aplicar los aceites sugeridos al pecho y los puntos de reflexología en los pies y las manos (diluir si es necesario), o esparcir."
24,2018-08-23 21:07:07,2019-02-08 11:49:28,Blood Sugar Balancing Cinnamon Tea,Chá de canela para equilíbrio de açúcar no sangue,Té de canela regulador de azúcar en la sangre,Place cinnamon oil in warm water. Sweeten with honey or agave if needed.,"Coloque o óleo de canela em água quente. Adoce a água com mel ou agave, se necessário.",Colocar el aceite de canela en agua tibia. Endulzar con miel o agave si es necesario.
25,2018-08-23 21:11:49,2019-02-08 11:49:28,Brain-Fog Buster,Buster para Confusão Mental,Para combatir la niebla cerebral,Apply oils to the back of the neck with a few drops of carrier oil to enhance circulation to the brain.,Aplique óleos atrás do pescoço com algumas gotas de óleo veicular para melhorar a circulação ao cérebro.,Aplicar los aceites en la parte posterior del cuello con unas gotas de aceite portador para mejorar la circulación al cerebro.
26,2018-08-23 21:13:59,2019-02-08 11:49:28,Cognitive Improvement,Melhoria cognitiva,Mejora cognitiva,"Place oils on suboccipital triangle area at the base of the skull, the bottoms of the feet, and under the tongue twice daily to support the improvement of cognitive impairment and dispel agitation and depression.","Coloque óleos na área triangular suboccipital na base do crânio, nas solas dos pés e sob a língua duas vezes ao dia para auxiliar na melhoria do comprometimento cognitivo e se livrar de agitações e da depressão.","Colocar los aceites en el área del triángulo suboccipital en la base del cráneo, las plantas de los pies y debajo de la lengua dos veces por día para colaborar con la mejora del deterioro cognitivo y disipar la agitación y la depresión."
28,2018-08-23 21:25:41,2019-02-08 11:49:28,Candida Facial & Skin Oil,Candida Facial e Oleosidade da pele,Candidiasis facial y piel grasosa,Combine suggested oils in 30 ml glass bottle and fill remainder with a carrier oil. Apply to affected areas to soothe and relieve irritated skin until symptoms subside.,Misture os óleos misturados em um frasco de 30ml e complete o conteúdo com óleo veicular. Aplique nas áreas afetadas para amenizar e aliviar irritações na pele até que os sintomas diminuam.,Combinar los aceites sugeridos en una botella de vidrio de 30 ml y completar el resto con un aceite portador. Aplicar a las áreas afectadas para calmar y aliviar la piel irritada hasta que los síntomas desaparezcan.
29,2018-08-23 21:26:53,2019-02-08 11:49:28,Candida Relief Topical Blend,Mix tópico para alívio da cândida,Mezcla tópica para el alivio de candidiasis,Place suggested oils in a 10 ml roller bottle and fill remainder with a carrier oil. Use topically as needed.,"Coloque os óleos sugeridos em um frasco de 10ml e complete o conteúdo com óleo veicular. Use localmente, conforme necessário.",Colocar los aceites sugeridos en una botella roll-on de 10 ml y llenar el resto con un aceite portador. Usar de forma tópica según sea necesario.
30,2018-08-23 21:28:11,2019-02-08 11:49:28,Candida Relief Internal Blend,Mix interno para alívio da cândida,Mezcla oral para el alivio de candidiasis,Place suggested oils in an empty capsule. Ingest 3 times per day.,Coloque os óleos sugeridos em uma cápsula vazia. Ingira-os 3 vezes ao dia.,Colocar los aceites sugeridos en una cápsula vacía. Ingerir 3 veces por día.
31,2018-08-23 21:30:19,2019-02-08 11:49:28,Anemia Resolve,Solução para anemia,Curación de anemia,Combine with 1 teaspoon carrier oil and apply to bottoms of feet and stomach.,Misture-os com 1 colher de chá de óleo veicular e aplique-os nas solas do pé e no estômago.,Combinar con 1 cucharadita de aceite portador y aplicar a las plantas de los pies y el estómago.
32,2018-08-23 21:31:22,2019-02-08 11:49:28,Blood Clot Support,Auxílio para coágulo de sangue,Refuerzo por coágulo sanguíneo,Combine and ingest in capsule or apply NEAT to bottoms of feet to support blood flow. Dilute if desired.,Misture-os e ingira-os em cápsulas ou aplique-os PURAMENTE nas solas dos pés para auxiliar no fluxo sanguíneo. Dilua se desejar.,Combinar e ingerir la cápsula o aplicar NEAT a las plantas de los pies para mantener el flujo sanguíneo. Diluya si lo desea.
33,2018-08-23 21:32:53,2019-02-08 11:49:28,Cholesterol Build-Up Buster,Buster para acúmulo de colesterol,Para bajar el colesterol,Place in a capsule; take 2 times per day.,Coloque em cápsulas; tome duas vezes ao dia.,Colocar en una cápsula; tomar 2 veces por día.
34,2018-08-23 21:46:44,2019-02-08 11:49:28,Lymph Topical,Linfática tópica,Tópico linfático,Apply to affected area one to two times daily. Also apply to spine once per day and bottoms of feet two times per day.,Aplique na área afetada uma ou duas vezes diariamente. Aplique na coluna uma vez ao dia e nas solas dos pés duas vezes ao dia.,Aplicar al área afectada una o dos veces por día. También aplicar a la columna una vez por día y a las plantas de los pies dos veces por día.
35,2018-08-23 21:58:06,2019-02-08 11:49:28,DNA Repair & Healthy Apoptosis,Reparo do DNA e apoptose saudável,Reparación de ADN y apoptosis saludable,"Use cellular complex blend on bottoms of feet - 4 drops per foot two times daily. Use essential oil cellular complex as a supplement - 2 softgels with meals two or three times per day. Apply frankincense under the tongue twice per day; hold 30 seconds; swallow. Place clove, grapefruit, lavender, and cellular complex blend in a capsule. Take two to three times per day. Research and create own blend using oils that are specific to condition(s).  ","Uma mistura de complexo celular nas solas dos pés - 4 gotas por pé, duas vezes diariamente. Use o óleo de complexo celular como um suplemento - 2 softgel junto de refeições duas ou três vezes ao dia. Aplique olíbano sob a língua duas vezes ao dia; prenda por 30 segundos; engulo. Coloque cravos, toranjas, lavanda e a mistura de complexo celular em uma cápsula. Tome de duas a três vezes ao dia. Pesquisa e crie sua própria mistura usando óleos que são específicos para determinada(s) condição(ões).","Usar la mezcla de complejos celulares en la planta de los pies: 4 gotas por pie dos veces por día. Usar el complejo celular de aceite esencial como suplemento: 2 cápsulas blandas con las comidas dos o tres veces por día. Aplicar incienso debajo de la lengua dos veces por día; retener 30 segundos; tragar. Colocar el clavo de olor, el pomelo, la lavanda y la mezcla de complejos celulares en una cápsula. Tomar de dos a tres veces por día. Investigue y cree una mezcla propia utilizando aceites que sean específicos para las afecciones."
36,2018-08-24 00:18:52,2019-02-08 11:49:28,Cellular Health Layering Application Technique,Técnica de aplicação de camadas para saúde celular,Técnica de aplicación de capas de salud celular,"Apply base coat using a carrier oil. Once daily, layer oils one at a time, on back. First, drip 5-6 drops of one oil up spine; distribute across back; massage lightly. Repeat until all oils are applied. Alter recipe according to needs and conditions. Choose oils from particular cancer lists.","Aplique o revestimento de base usando um óleo veicular. Uma vez ao dia, esfregue um óleo por vez nas costas. Primeiro derrame de 5 a 6 gotas de um óleo na espinha; esfregue nas costas; massageie levemente. Repita o processo até que todos os óleos tenham sido aplicados. Altere a receita de acordo com suas necessidades e condições. Escolhe óleos a partir de listas de cânceres específicos.","Aplicar una capa base con un aceite portador. Una vez al día, aplicar capas de aceite de una en una, en la espalda. Primero, gotear 5-6 gotas de un aceite en la columna vertebral; distribuir a lo largo de la espalda; masajear ligeramente. Repetir hasta que se apliquen todos los aceites. Modificar la receta de acuerdo con las necesidades y afecciones. Elegir aceites de las listas de tipos de cáncer particulares."
37,2018-08-24 00:20:48,2019-02-08 11:49:28,Heavy Metal Detox,Desintoxicação de Metais Pesados,Desintoxicación de metales pesados,Combine oils in a roller bottle. Fill with fractionated coconut oil. Apply to eustachian tubes and neck in a downward motion.,Misture os óleos em um frasco. Complete o conteúdo com óleo de coco fracionado. Aplique na trompa de Eustáquio e no pescoço com um movimento descendentes.,Combinar los aceites en una botella roll-on. Completar con aceite de coco fraccionado. Aplicar sobre las trompas de Eustaquio y el cuello con un movimiento hacia abajo.
38,2018-08-24 00:23:34,2019-02-08 11:49:28,Everyday Morning Detox,Desintoxicação matutina diária,Desintoxicación matutina diaria,Combine ingredients in a glass and drink.,Misture os ingredientes em um copo e beba.,Combinar los ingredientes en un vaso y beber.
39,2018-08-24 00:28:48,2019-02-08 14:16:16,Skin Detox,Desintoxicação da pele,Desintoxicación de la piel,Create a paste; add more or less coconut oil to achieve desired consistency. Use in the shower as cleanser and exfoliator. Apply all over the body and gently scrub for a few minutes; then rinse. Repeat at least twice a week. The skin naturally serves as a pathway for detoxification. Keeping the skin clean and open will aid the body in the detoxification process.,Crie uma pasta; acrescente mais ou menos óleo de coco para obter a consistência desejada. Use durante o banho como um limpador ou um esfoliador. Aplique no corpo inteiro e esfregue gentilmente por alguns minutos; depois enxague. Repita ao menos duas vezes por semana. A skin serve naturalmente como um meio de desintoxicação. Manter a pele limpa e aberta ajudará o corpo no processo de desintoxicação.,"Crear una pasta; agregar más o menos aceite de coco para lograr la consistencia deseada. Usar en la ducha como limpiador y exfoliante. Aplicar en todo el cuerpo y frotar suavemente durante unos minutos; luego, enjuagar. Repita al menos dos veces por semana. La piel naturalmente funciona como una vía para la desintoxicación. Mantener la piel limpia y abierta ayudará al cuerpo en el proceso de desintoxicación."
40,2018-08-24 00:30:32,2019-02-08 11:49:28,Gut Support,Auxílio intestinal,Refuerzo para la salud,Combine suggested oils in a roller bottle and shake gently to blend. Apply to the abdomen or inhale to relieve discomfort.,Misture os óleos sugeridos em um frasco e agite gentilmente para misturar. Aplique no abdômen ou inale para aliviar desconfortos.,Combinar los aceites sugeridos en una botella roll-on y agitar suavemente para mezclar. Aplicar sobre el abdomen o inhalar para aliviar las molestias.
41,2018-08-24 00:31:38,2019-02-08 11:49:28,Constipation Remedy,Solução para constipação,Remedio contra la constipación,Combine suggested oils in a 2-ounce spray bottle and fill about 1/2 full of carrier oil. Spray on the belly and rub in a clockwise motion for three to five minutes.,Misture os óleos sugeridos em um frasco borrifador de duas onças e preencha metade do seu conteúdo com óleo veicular. Borrife na barriga e esfregue em em sentido horário durante três a cinco minutos.,Combinar los aceites sugeridos en un atomizador de 60 ml (2 onzas) y llenar hasta aproximadamente la mitad con aceite portador. Rociar sobre el vientre y frotar en sentido horario durante tres a cinco minutos.
42,2018-08-24 00:33:03,2019-02-08 11:49:28,IBS Relief,Alívio para síndrome do intestino irritável,Alivio del síndrome de colon irritable,"Combine oils in a capsule; consume three times a day with meals. Also add GX Assist® softgels, PB Assist®+, and MicroPlex VMz® complex to cleanse and rebuild the gut and to build nutritional strength.","Misture os óleos em cápsulas; consuma-os três vezes ao dia junto de refeições. Acrescente softgel GX Assist®, PB Assist®+ e MicroPlex VMz® para limpar e restaurar a flora intestinal e para desenvolver força nutricional.","Combinar los aceites en una cápsula; consumir tres veces al día con las comidas. También agregar las cápsulas blandas GX Assist®, PB Assist®+ y el complejo MicroPlex VMz® para limpiar y reconstruir el intestino y desarrollar la fortaleza nutricional."
44,2018-08-24 00:35:38,2019-02-08 11:49:28,Anorexic Assist,Auxílio para Anorexia,Ayuda contra la anorexia,Combine and diffuse around meal times or during emotional vulnerability.,Misture -os e disperse-os próximo ao horário de suas refeições ou durante momentos em que você esteja emocionalmente vulnerável.,Combinar y esparcir cerca del horario de las comidas o durante un períodos de vulnerabilidad emocional.
45,2018-08-24 00:36:31,2019-02-08 11:49:28,Overeating Control,Controle para comer em excesso,Control para evitar comer en exceso,"Apply to bottoms of feet or take in a capsule before eating. Additionally, diffuse any of the oils.","Aplique nas solas dos pés ou tome em cápsulas antes de comer. Adicionalmente, disperse qualquer um dos outros óleos.","Aplicar a las plantas de los pies o tomar una cápsula antes de comer. Además, esparcir cualquiera de los aceites."
46,2018-08-24 00:37:55,2019-02-08 11:49:28,Chill Out,Relaxar,Relajante,"Mix in a 50/50 ratio of essential oils to a carrier oil for children and a 75/25 ratio for adults. Apply to the back of the neck, inside of wrists, the base of the skull, and along the spinal cord. Other optional oils include Brave® and Serenity®.","Faça uma mistura na proporção 50/50 de óleos essenciais a óleo veicular para crianças e uma proporção 75/25 para adultos. Aplique atrás do pescoço, na parte interna dos pulsos, na base do crânio e ao longo da medula espinhal. Outros óleos opcionais incluem Brave® e Serenity®.","Mezclar los aceites esenciales con un aceite portador en una proporción de 50/50 para niños y en una proporción de 75/25 para adultos. Aplicar en la parte posterior del cuello, dentro de las muñecas, en la base del cráneo y a lo largo de la médula espinal. Otros aceites opcionales incluyen Brave® y Serenity®."
47,2018-08-24 00:40:07,2019-02-08 11:49:28,Common Cold Blend,Mix para gripe comum,Mezcla para resfrío común,Combine carrier oil with oils. Massage a little of the blend on the neck and chest. Another optional oil is Stronger®.,Misture óleos veiculares com os outros tipos. Massageie parte da mistura no pescoço e no peito. Outro óleo opcional é o Stronger®.,Combinar el aceite portador con aceites. Masajear un poco de la mezcla en el cuello y el pecho. Otro aceite opcional es Stronger®.
48,2018-08-24 00:40:23,2019-02-08 11:49:28,Kill Sugar Cravings,Matar os desejos de açúcar,Para combatir los antojos por azúcar,Smell the basil oil or drink the cinnamon oil. Drink or smell the grapefruit oil. Take thyme in a capsule. Drink or take the Slim & Sassy® blend in a capsule.,Cheire o óleo de manjericão ou bebe o óleo de canela. Beba ou cheire o óleo de toranja. Tome tomilho em cápsula. Beba ou ingira a mistura Slim & Sassy® em cápsulas.,Oler el aceite de albahaca o beber el aceite de canela. Beber u oler el aceite de pomelo. Tomar el tomillo en una cápsula. Beber o tomar la mezcla Slim & Sassy® en una cápsula.
49,2018-08-24 00:42:43,2019-02-08 11:49:28,Adrenal Aid,Auxílio adrenal,Ayuda adrenal,"Combine oils in a 5ml bottle/roller bottle and fill the remainder with a carrier oil. Apply over kidneys (on both sides of the back just below rib cage), and follow with a warm, damp washcloth as a compress.",Misture óleos em um frasco de 5ml e complete o conteúdo com óleo veicular. Aplique sobre os rins (nos dois lados das costas abaixo da caixa torácica) e use um pano quente e úmido como compressa.,"Combinar los aceites en una botella de 5 ml/botella roll-on y completar el resto con un aceite portador. Aplicar sobre los riñones (en ambos lados de la espalda, justo debajo de la caja torácica) y continuar con una toallita húmeda y tibia como una compresa."
50,2018-08-24 00:44:53,2019-02-08 11:49:28,Thyroid Boost,Impulso para tireoide,Refuerzo para tiroides,Combine oils in a 10ml roller bottle and fill the remainder with a carrier oil. Apply at least once daily over thyroid (on both sides of the neck just below Adam’s apple).,"Misture óleos em um frasco de 10ml e complete o conteúdo com óleo veicular. Aplique ao menos uma vez por dia sobre a tireoide (nos dois lados do pescoço, abaixo do pomo-de-adão).","Combinar los aceites en una botella roll-on de 10 ml y completar el resto con un aceite portador. Aplicar al menos una vez por día sobre la tiroides (a ambos lados del cuello, justo debajo de la nuez de Adán)."
51,2018-08-24 00:46:15,2019-02-08 11:49:28,Pancreatic Promoter,Promotor pancreático,Activador del páncreas,Combine suggested oils in a 10ml roller bottle and fill the remainder with a carrier oil. Apply over pancreas (on abdomen just below sternum) morning and evening for pancreatic support.,"Misture os óleos sugeridos em um frasco de 10ml e complete o conteúdo com óleo veicular. Aplique sobre o pâncreas (no abdômen, abaixo do esterno) durante as manhãs e as noites para ajudar no auxílio pancreático.","Combinar los aceites sugeridos en una botella roll-on de 10 ml y completar el resto con un aceite portador. Aplicar sobre el páncreas (en el abdomen, justo debajo del esternón) por la mañana y por la noche como refuerzo para el páncreas."
52,2018-08-24 00:47:18,2019-02-08 11:49:28,Energy Boost,Impulso de energia,Refuerzo de energía,Take oils in a capsule as needed or desired.,Tome óleos em cápsulas conforme necessário ou desejado.,Tomar los aceites en una cápsula según sea necesario o según se desee.
53,2018-08-24 00:47:45,2019-02-08 11:49:28,Aphrodisiac Aroma Arouser,Aroma afrodisíaco excitante,Aromatizador afrodisíaco,Apply on back of neck and behind ears. Dilute with a carrier oil if desired or necessary for sensitive skin.,"Aplique atrás do pescoço e atrás das orelhas. Se desejar ou se for necessário, dilua com um óleo veicular para pele sensível.",Aplicar en la nuca y detrás de las orejas. Diluir con un aceite portador si se desea o es necesario para pieles sensibles.
54,2018-08-24 00:48:18,2019-02-08 11:49:28,Invigorating Blast,Explosão Revigorante,Estallido vigorizante,"Inhale from cupped hands, massage on the back of the neck.",Inale com as mãos em concha e massageie atrás do pescoço.,"Inhalar desde el cuenco de las manos, masajear la parte posterior del cuello."
55,2018-08-24 00:48:53,2019-02-08 11:49:28,Body Warmer,Aquecedor corporal,Calentador de cuerpo,"In a 2-ounce glass bottle, combine oils, swirl, fill with a carrier oil. Use as a massage oil to warm the body temperature and create arousal.",Misture e agite óleos em um frasco de 2 onças e complete o conteúdo com óleo veicular. Use como óleo massageador para aquecer a temperatura do corpo e causar estímulos.,"En una botella de vidrio de 60 ml (2 onzas), combinar los aceites, revolver y completar con un aceite portador. Usar como aceite de masajes para aumentar la temperatura corporal y crear excitación."
56,2018-08-24 00:49:33,2019-02-08 11:49:28,Mid-Afternoon Slump Buster,Buster para depressão de final de tarde,Contra el cansancio de media tarde,"Combine in a 15 ml roller bottle and fill the remainder with a carrier oil. Apply to the back of the neck, rub up into the base of the skull, swipe across forehead near the hairline, or inhale.","Misture em um frasco de 15ml e complete o conteúdo com óleo veicular. Aplique atrás do pescoço, esfregue na base do crânio, espalhe pela testa perto dos cabelo ou inale.","Combinar en una botella roll-on de 15 ml y completar el resto con un aceite portador. Aplicar en la parte posterior del cuello, frotar en la base del cráneo, frotar en la frente cerca de la línea del cabello o inhalar."
57,2018-08-24 00:50:37,2019-02-08 11:49:28,Owie Spray,Owie Spray,Aerosol contra el dolor,Add suggested oils to 4-ounce glass spray bottle and fill with purified water.,Acrescente os óleos sugeridos em um frasco borrifador de quatro onças e complete o conteúdo com água purificada.,Agregar los aceites sugeridos a la botella de vidrio con atomizador de de 120 ml (4 onzas) y completar con agua purificada.
58,2018-08-24 00:50:56,2019-02-08 11:49:28,Kiss and Make Up,Beijo e maquiagem,Beso y maquillaje,Use blend to “diffuse” an argument or calm a partner. Diffuse or apply topically with a carrier oil.,"Use a mistura para ""dispersar"" uma discussão ou acalmar um amigo. Disperse ou aplique no local com óleo veicular.","Usar la mezcla para ""esparcir"" una discusión o calmar a un compañero. Esparcir o aplicar de forma tópica con un aceite portador."
