id,created_at,updated_at,name,description,useable_name,useable_id,useable_type,sort_order,uses_application,Spanish,Portuguese
42,8/30/18 15:46,10/12/18 17:25,Discouraged & Unenthused,"Apply 1-2 drops under the nose, to the back of the neck, over the heart, and/or the bottoms of the feet.",Children's Courage,36,App\Blend,16,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, a la parte posterior del cuello, sobre el corazón o en las plantas de los pies.","Aplique 1-2 gotas sob o nariz, na nuca, sobre o coração e/ou na sola dos pés."
43,8/30/18 15:46,10/12/18 17:25,Tired & Weary,"Apply 1-2 drops under the nose, to the back of the neck, forehead, and/or the bottoms of the feet.",Children's Courage,36,App\Blend,17,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, en la parte posterior del cuello, la frente o en las plantas de los pies.","Aplique 1-2 gotas sob o nariz, na nuca, testa e/ou na sola dos pés."
44,8/30/18 15:46,1/16/19 9:01,Lack or determination & Conviction,"Apply 1-2 drops under the nose, along the spine, over the heart, and/or the bottoms of the feet.",Children's Courage,36,App\Blend,18,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, a lo largo de la columna, sobre el corazón o en las plantas de los pies.","Aplique 1-2 gotas sob o nariz, ao longo da coluna, sobre o coração e/ou na sola dos pés."
45,8/30/18 15:46,10/12/18 17:25,Afraid & Scared,"Apply 1-2 drops under the nose, to the back of the neck, along the spine, and/or to the bottoms of the feet.",Children's Courage,36,App\Blend,19,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, a la parte posterior del cuello, a lo largo de la columna o en las plantas de los pies.","Aplique 1-2 gotas sob o nariz, na nuca, ao longo da coluna e/ou sola dos pés."
46,8/30/18 15:46,1/16/19 9:01,Lack of confidence & Motivation,"Apply 1-2 drops under the nose, to the chest, back, and/or the bottoms of the feet.",Children's Courage,36,App\Blend,20,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, en el pecho, la espalda o las plantas de los pies.","Aplique 1-2 gotas sob o nariz, no peito, nas costas e/ou na sola dos pés."
47,8/30/18 15:46,10/12/18 17:25,Confused & Overwhelmed,"Apply 1-2 drops under the nose, to the back of the neck, and forehead.",Children's Courage,36,App\Blend,21,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, en la parte posterior del cuello y en la frente.","Aplique 1-2 gotas sob o nariz, na nuca e na testa."
48,8/30/18 15:46,10/12/18 17:25,"Digestive Upset, Nervous & Agitated","Apply 1-2 drops to the abdomen, forehead, and/or bottoms of the feet.",Children's Courage,36,App\Blend,22,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas en el abdomen, la frente o las plantas de los pies.","Aplique 1-2 gotas no abdômen, testa e/ou na sola dos pés."
49,8/30/18 15:46,10/12/18 17:25,Aches & Pains,Apply 1-2 drops to the area(s) of concern.,Children's Courage,36,App\Blend,23,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplicar 1-2 gotas a las áreas de interés.,Aplique 1-2 gotas na(s) área(s) de interesse.
53,8/30/18 15:51,10/12/18 17:25,"Uncooperative & Obstinate, Out Of Control","Apply 1-2 drops to chest, forehead, and/or bottoms of feet.",Children's Grounding,38,App\Blend,24,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplique 1 a 2 gotas al pecho, a la frente o a las plantas de los pies.","Aplique 1-2 gotas no peito, testa e/ou sola dos pés."
54,8/30/18 15:51,10/12/18 17:25,Overstimulated & Overwhelmed,"Apply 1-2 drops under the nose, to the back of neck, and forehead.",Children's Grounding,38,App\Blend,25,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, a la parte posterior del cuello y la frente.","Aplique 1-2 gotas sob o nariz, na nuca e na testa."
55,8/30/18 15:51,10/12/18 17:25,Disconnected From The Earth & Reality,"Apply 1-2 drops under the nose, and/or to the bottoms of the feet.",Children's Grounding,38,App\Blend,26,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplicar 1-2 gotas debajo de la nariz o en las plantas de los pies.,Aplique 1-2 gotas sob o nariz e/ou na sola dos pés.
56,8/30/18 15:51,10/12/18 17:25,Focus Issues & Mood Swings,"Apply 1-2 drops under the nose, over the heart, and/or to the forehead.",Children's Grounding,38,App\Blend,27,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, sobre el corazón o en la frente.","Aplique 1-2 gotas sob o nariz, sobre o coração e/ou na testa."
57,8/30/18 15:51,10/12/18 17:25,Restless & Wound Up,"Apply 1-2 drops under nose, to back of neck, along the spine, and/or bottoms of feet.",Children's Grounding,38,App\Blend,28,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, la parte posterior del cuello, a lo largo de la columna o en las plantas de los pies.","Aplique 1-2 gotas abaixo do nariz, na parte de trás do pescoço, ao longo da coluna e/ou na sola dos pés."
58,8/30/18 15:51,10/12/18 17:25,"Anger & Frustration, Tantrums","Apply 1-2 drops under the nose, to the back of the neck, along the spine, over the heart, and/or bottoms of feet.",Children's Grounding,38,App\Blend,29,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, a la parte posterior del cuello, a lo largo de la columna, sobre el corazón o en las plantas de los pies.","Aplique 1-2 gotas sob o nariz, na nuca, ao longo da coluna, sobre o coração e/ou sola dos pés."
59,8/30/18 15:51,10/12/18 17:25,"Grief & Sadness, Disappointment","Apply 1-2 drops under the nose, to chest, forehead, and/or bottoms of feet.",Children's Grounding,38,App\Blend,30,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, en el pecho, la frente o las plantas de los pies.","Aplique 1-2 gotas sob o nariz, no peito, na testa e/ou na sola dos pés."
60,8/30/18 15:51,10/12/18 17:25,Bath & Bedtime Routine,Apply 1-2 drops to bottoms of feet. Relax balancing,Children's Grounding,38,App\Blend,31,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplique 1 a 2 gotas a las plantas de los pies. Relaja el equilibrio,Aplique 1-2 gotas na sola dos pés. Relaxe balançando-se
61,8/30/18 15:54,10/12/18 17:25,"Unsettled & Restless, Sleep Issues",Apply 1-2 drops under the nose and to bottoms of feet.,Children's Restful,40,App\Blend,32,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplicar 1-2 gotas debajo de la nariz y en las plantas de los pies.,Aplique 1-2 gotas sob o nariz e na sola dos pés.
62,8/30/18 15:54,10/12/18 17:25,Stressed & Anxious,"Apply 1-2 drops under the nose, to the back of neck, and forehead.",Children's Restful,40,App\Blend,33,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, a la parte posterior del cuello y la frente.","Aplique 1-2 gotas sob o nariz, na nuca e na testa."
63,8/30/18 15:54,10/12/18 17:25,"Fussy, Easily Upset & Startled","Apply 1-2 drops to chest, and/or bottoms of feet.",Children's Restful,40,App\Blend,34,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplique 1 a 2 gotas al pecho o a las plantas de los pies.,Aplique 1-2 gotas no peito e/ou na sola dos pés.
64,8/30/18 15:54,10/12/18 17:25,"Uptight & Wound Up, Moody",Apply 1-2 drops under the nose and across the forehead or inhale deeply from cupped hands.,Children's Restful,40,App\Blend,35,"[{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz y en la frente, o inhalar profundamente del cuenco de las manos.",Aplique 1-2 gotas sob o nariz e na testa ou inspire profundamente nas mãos em concha.
65,8/30/18 15:54,10/12/18 17:25,Muscle Aches & Growing Pains,Apply 1-2 drops to areas of concern.,Children's Restful,40,App\Blend,36,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplique 1 a 2 gotas a las áreas de interés.,Aplique 1-2 gotas nas áreas de interesse.
66,8/30/18 15:54,10/12/18 17:25,"Angry, Agitated & Irritable",Apply 1-2 drops to bottoms of feet and spine.,Children's Restful,40,App\Blend,37,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplique 1 a 2 gotas a las plantas de los pies y la columna.,Aplique 1-2 gotas na sola dos pés e na coluna.
67,8/30/18 15:54,10/12/18 17:25,Bath & Bedtime Routine,"Apply 1-2 drops under the nose, to the forehead, and bottoms of feet. Relax in a warm bath.",Children's Restful,40,App\Blend,38,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas debajo de la nariz, en la frente y en las plantas de los pies. Relajar en un baño de agua tibia.","Aplique 1-2 gotas sob o nariz, na testa e na sola dos pés. Relaxe em um banho quente."
68,8/30/18 15:58,10/12/18 17:25,Kill Germs & Microbes,Diffuse for the air or add to a spray bottle filled with water for surfaces.,Cleansing,9,App\Blend,39,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":false,""position"":999}]",Esparcir en el aire o agregar en un atomizador con agua para las superficies.,Use o difusor pelo ar ou adicione em um borrifador cheio de água para superfícies.
69,8/30/18 15:58,10/12/18 17:25,Air & Odor Cleansing,Diffuse to eliminate odors.,Cleansing,9,App\Blend,40,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":false,""position"":999}]",Esparcir para eliminar olores.,Use o difusor para eliminar odores.
70,8/30/18 15:58,10/12/18 17:25,Discouragement,Diffuse to uplift mood and clear the mind.,Cleansing,9,App\Blend,41,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":false,""position"":999}]",Esparcir para elevar el ánimo y aclarar las ideas.,Use o difusor para elevar o humor e limpar a mente
71,8/30/18 15:58,10/12/18 17:25,Addictions,"Diffuse or apply 1-2 drops under the nose, across forehead, or bottoms of feet.",Cleansing,9,App\Blend,42,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":999}]","Esparcir o aplicar 1-2 gotas debajo del puente nasal, en la frente o las plantas de los pies.","Use o difusor ou aplique 1-2 gotas sob o nariz, na testa ou na sola dos pés."
72,8/30/18 15:58,10/12/18 17:25,Allergies,"Apply 1-2 drops to the chest, bottoms of feet or diffuse.",Cleansing,9,App\Blend,43,"[{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]","Aplicar 1-2 gotas al pecho, las plantas de los pies o esparcir.","Aplique 1-2 gotas no peito, sola dos pés ou use o difusor."
73,8/30/18 15:58,10/12/18 17:25,Acne,Apply 1-2 drops topically to the area of concern.,Cleansing,9,App\Blend,44,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplicar 1-2 gotas en forma tópica al área de interés.,Aplique 1-2 gotas topicamente na área de interesse.
74,8/30/18 15:58,10/12/18 17:25,Surface Cleaning,Add 6-8 drops and one tablespoon vinegar to glass spray bottle filled with water.,Cleansing,9,App\Blend,45,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":false,""position"":999}]",Agregue 6 a 8 y una cucharada de vinagre a una botella con atomizador de vidrio llena de agua.,Adicione 6-8 gotas e uma colher de sopa de vinagre em um borrifador de vidro com água.
75,8/30/18 15:58,10/12/18 17:25,Insect Repellent,Diffuse to keep bugs and insects away.,Cleansing,9,App\Blend,46,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":false,""position"":999}]",Esparcir para mantener alejados bichos e insectos.,Use o difusor para manter os besouros e insetos longe.
76,8/30/18 15:58,10/12/18 17:25,Bug Bites & Stings,Apply 1-2 drops with lavender to soothe bites and stings.,Cleansing,9,App\Blend,47,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplicar 1-2 gotas con lavanda para aliviar picaduras y mordeduras.,Aplique 1-2 gotas com lavanda para aliviar as mordidas e as picadas.
77,8/30/18 15:58,10/12/18 17:25,Laundry,Add 2-4 drops to a load of laundry.,Cleansing,9,App\Blend,48,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":false,""position"":999}]",Agregue 2 a 4 gotas a una carga de ropa para lavar.,Adicione 2-4 gotas para uma carga de roupa.
78,8/30/18 15:58,10/12/18 17:25,Deodorant,Apply 1-2 drops diluted under the arms.,Cleansing,9,App\Blend,49,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplique 1 a 2 gotas diluidas debajo de los brazos.,Aplique 1-2 gotas diluídas sob os braços.
79,8/30/18 15:58,10/12/18 17:25,Lymphatic Detox,Apply 1-2 drops diluted to the skin or neat to bottoms of feet.,Cleansing,9,App\Blend,50,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplique 1 a 2 gotas diluidas a la piel o puro a las plantas de los pies.,Aplique 1-2 gotas diluídas na pele ou puras na sola dos pés.
81,8/30/18 16:00,10/12/18 17:25,"Kidney, Gallbladder & Liver Cleansing",Take 1-2 drops in a capsule or apply 1-2 drops diluted to the lower abdomen.,Detoxification,11,App\Blend,51,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",Tomar 1-2 gotas en una cápsula o aplicar 1-2 gotas diluidas al abdomen inferior.,Tome 1-2 gotas em uma cápsula ou aplique 1-2 gotas diluídas no abdômen inferior.
82,8/30/18 16:00,10/12/18 17:25,Heavy Metal Detoxification Tract Infection,Take 1-2 drops in a capsule.,Detoxification,11,App\Blend,52,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":true,""position"":0}]",Aplique 1 a 2 gotas en una cápsula.,Tome 1-2 gotas em uma cápsula.
83,8/30/18 16:00,10/12/18 17:25,Constipation & Urinary Tract Infection,Take 1-2 drops or apply 1-2 drops diluted over the abdomen.,Detoxification,11,App\Blend,53,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",Tomar 1-2 gotas o aplicar 1-2 gotas diluidas en el abdomen.,Tome 1-2 gotas ou aplique 1-2 gotas diluídas sobre o abdômen.
84,8/30/18 16:00,10/12/18 17:25,Weight Loss & Detoxification,Take 1-2 drops in a capsule.,Detoxification,11,App\Blend,54,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":true,""position"":0}]",Aplique 1 a 2 gotas en una cápsula.,Tome 1-2 gotas em uma cápsula.
85,8/30/18 16:00,10/12/18 17:25,Colitis & Jaundice,Take 1-2 drops in a capsule or apply 1-2 drops to abdomen or bottoms of feet.,Detoxification,11,App\Blend,55,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",Tomar 1-2 gotas en una cápsula o aplicar 1-2 gotas al abdomen o las plantas de los pies.,Tome 1-2 gotas em uma cápsula ou aplique 1-2 gotas no abdômen ou na sola dos pés.
86,8/30/18 16:00,10/12/18 15:14,Endocrine & Hormone Imbalance,Take 1-2 drops in a capsule or apply 1-2 drops to the abdomen or bottoms of feet.,Detoxification,11,App\Blend,86,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",Tomar 1-2 gotas en una cápsula o aplicar 1-2 gotas al abdomen o las plantas de los pies.,Tome 1-2 gotas em uma cápsula ou aplique 1-2 gotas no abdômen ou na sola dos pés.
87,8/30/18 16:00,10/12/18 15:14,Adrenal Fatigue & Exhaustion,"Take 1-2 drops in a capsule or apply 1-2 drops diluted to the abdomen, back of the neck, or bottoms of feet.",Detoxification,11,App\Blend,87,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]","Tomar 1-2 gotas en una cápsula o aplicar 1-2 gotas diluidas en el abdomen, la parte posterior del cuello o las plantas de los pies.","Tome 1-2 gotas em uma cápsula ou aplique 1-2 gotas diluídas no abdômen, na nuca ou na sola dos pés."
88,8/30/18 16:00,10/12/18 15:14,Hangover,Take 1-2 drops in a capsule or apply 1-2 drops to bottoms of feet.,Detoxification,11,App\Blend,88,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",Tomar 1-2 gotas en una cápsula o aplicar 1-2 gotas a las plantas de los pies.,Tome 1-2 gotas em uma cápsula ou aplique 1-2 na sola dos pés.
90,8/30/18 16:01,1/16/19 9:21,"Lack of Confidence, Courage or Motivation","Diffuse and apply 1-2 drops under the nose, on the forehead, back of the neck, or chest.",Encouraging,13,App\Blend,90,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":999}]","Esparcir y aplicar 1-2 gotas debajo de la nariz, en la frente, la parte posterior del cuello o el pecho.","Use o difusor e aplique 1-2 gotas sob o nariz, na testa, nuca ou peito."
91,8/30/18 16:01,10/12/18 15:14,Confusion & Overwhelm,"Inhale or apply 1-2 drops under the nose, on the forehead, back of the neck, or chest.",Encouraging,13,App\Blend,91,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":999}]","Inhalar o aplicar 1-2 gotas debajo de la nariz, en la frente, la parte posterior del cuello o el pecho.","Inspire ou aplique 1-2 gotas sob o nariz, na testa, nuca ou peito."
92,8/30/18 16:01,10/12/18 15:14,Mental Fatigue & Exhaustion,Diffuse or apply 1-2 drops to temples and back of the neck.,Encouraging,13,App\Blend,92,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":999}]",Esparcir o aplicar 1-2 gotas a la sien y en la parte posterior del pecho.,Use o difusor ou aplique 1-2 gotas nas têmporas e na nuca.
93,8/30/18 16:01,10/12/18 15:14,Depletion & Stagnation,Inhale from cupped hands and apply 1-2 drops to pulse points.,Encouraging,13,App\Blend,93,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":999}]",Inhalar del cuenco de las manos y aplicar 1-2 gotas a los puntos para tomar el pulso.,Inspire das mãos em concha e aplique 1-2 gotas nos pontos de pulsação.
94,8/30/18 16:01,10/12/18 15:14,Depression,"Diffuse or apply 1-2 drops to chest, forehead, and back of the neck.",Encouraging,13,App\Blend,94,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":999}]","Esparcir o aplicar 1-2 gotas al pecho, la frente y en la parte posterior del cuello.","Use o difusor ou aplique 1-2 gotas no peito, testa e nuca."
