id,name,Spanish,Portuguese
22,2 cups hot water,2 tazas de agua caliente,2 xícaras de água quente
23,1/4-1/3 cup borax,1/4-1/3 taza de bórax,1/4-1/3 xícara de bórax
24,10 drops lemon essential oil,10 gotas de aceite esencial de limón,10 gotas de óleo essencial de limão siciliano
25,2 cups water,2 tazas de agua,2 xícaras de água
26,30 drops melaleuca essential oil,30 gotas de aceite esencial de melaleuca,30 gotas de óleo essencial de tea tree
27,10 drops peppermint essential oil,10 gotas de aceite esencial de menta,10 gotas de óleo essencial de hortelã-pimenta
28,1/4 cup baking soda,1/4 taza de bicarbonato,1/4 xícara de bicarbonato de sódio
29,1/4 cup distilled white vinegar,1/4 taza de vinagre blanco destilado,1/4 xícara de vinagre branco destilado
30,3 drops wild orange essential oil,3 gotas de aceite esencial de naranja silvestre,3 gotas de óleo essencial de laranja lima
31,2 cups baking soda,2 tazas de bicarbonato,2 xícaras de bicarbonato de sódio
32,1 cup epsom salt,1 taza de sal de Epsom,1 xícara de sal epsom
33,1/4 cup water,1/4 taza de agua,1/4 xícara de água
34,10 drops lemon essential oil,10 gotas de aceite esencial de limón,10 gotas de óleo essencial de limão siciliano
35,5 drops peppermint essential oil,5 gotas de aceite esencial de menta,5 gotas de óleo essencial de hortelã-pimenta
36,Ice cube tray,Cubetera para hielo,Bandeja de gelo
37,4 oz. Glass spray bottle,120 ml (4 onzas) Atomizador de vidrio,4 onças. Borrifador de vidro
38,1 mini stainless steel funnel,1 miniembudo de acero inoxidable,1 mini funil de aço inoxidável
39,1/2 cup of white distilled vinegar,1/2 taza de vinagre blanco destilado,1/2 xícara de vinagre branco destilado
40,10 drops of lemon essential oil,10 gotas de aceite esencial de limón,10 gotas de óleo essencial de limão siciliano
41,10 drops of melaleuca,10 gotas de melaleuca,10 gotas de tea tree
42,1 gallon distilled white vinegar,"4,5 litros (1 galón) de vinagre blanco destilado",1 galão de vinagre branco destilado
43,2 cups baking soda,2 tazas de bicarbonato,2 xícaras de bicarbonato de sódio
44,20 drops clove essential oil,20 gotas de aceite esencial de clavo de olor,20 gotas de óleo essencial de cravo
45,10 drops lemon essential oil,10 gotas de aceite esencial de limón,10 gotas de óleo essencial de limão siciliano
46,12 ounces seltzer water,350 ml (12 onzas) de agua de Seltz,12 onças de água com gás
47,"1/8-1/4 teaspoon stevia, to taste","1/8-1/4 cucharadita de stevia, a gusto","1/8-1/4 colher de chá de stevia, a gosto"
48,6 drops grapefruit essential oil,6 gotas de aceite esencial de pomelo,6 gotas de óleo essencial de toranja
49,6 drops lemon essential oil,6 gotas de aceite esencial de limón,6 gotas de óleo essencial de limão siciliano
50,1 cup frozen strawberries,1 taza de fresas congeladas,1 xícara de morangos congelados
51,1 teaspoon vanilla extract,1 cucharadita de extracto de vainilla,1 colher de chá de extrato de baunilha
52,1-2 drops lime essential oil,1-2 gotas de aceite esencial de lima,1-2 gotas de óleo essencial de limão
53,1 cup water,1 taza de agua,1 xícara de água
54,Stevia to sweeten,Stevia para endulzar,Stevia para adoçar
55,1 cup frozen berries,1 taza de bayas congeladas,1 xícara de frutas vermelhas congeladas
56,"2-3 drops wild orange essential oil, to taste","2-3 gotas de aceite esencial de naranja silvestre, a gusto","2-3 gotas de óleo essencial de laranja lima, a gosto"
57,"1 toothpick swirl clove essential oil, to taste","1 inmersión en espiral de un palillo de aceite esencial de clavo de olor, a gusto","1 pitata de óleo essencial de cravo, a gosto"
67,3 large eggs,3 huevos grandes,3 ovos grandes
68,3/4 cup milk,3/4 taza de leche,3/4 xícara de leite
69,1 teaspoon vanilla extract,1 cucharadita de extracto de vainilla,1 colher de chá de extrato de baunilha
70,1 drop cinnamon,1 gota de canela,1 gota de canela
71,dash of salt and pepper,pizca de sal y pimienta,pitada de sal e pimenta
72,6-8 slices bread of your choice,6-8 rebanadas del pan de su elección,6-8 fatias de pão de sua escolha
73,1 quart strawberries,1 cuarto de galón de fresas,1 quarto de um galão de morangos
74,sour cream or plain greek yogurt,crema ácida o yogurt griego natural,creme azedo e ou iogurte grego natural
75,2 toothpick swirls lemon essential oil,2 inmersiones en espiral de un palillo en aceite esencial de limón,2 pitadas de óleo essencial de limão siciliano
76,brown sugar,azúcar negra,açúcar mascavo
77,½ cup buttermilk,½ taza de suero de leche,½ xícara de soro de leite
78,½ cup mayonnaise,½ taza de mayonesa,½ xícara de maionese
79,½ cup sour cream,½ taza de crema ácida,½ xícara de creme azedo
80,1 package dry ranch buttermilk dressing mix,1 paquete de aderezo ranch con suero de leche,1 pacote de mix para molho ranch de soro de leite seco
81,2 drops cilantro essential oil,2 gotas de aceite esencial de cilantro,2 gotas de óleo essencial de coendro
82,"6 stalks green onions, sliced","6 tallos de cebolleta, en rodajas","6 talos de cebolinha, cortada"
83,4 golden pepperoncini peppers,4 pimientos amarillos,4 pimentas pepperoncini douradas
84,1 drop lime essential oil,1 gota de aceite esencial de lima,1 gota de óleo essencial de limão
85,1 teaspoon sugar,1 cucharadita de azúcar,1 colher de chá de açúcar
86,2/3 cup olive oil,2/3 taza de aceite de oliva,2/3 xícara de azeite
87,1/2 cup champagne or wine vinegar,1/2 taza de vinagre de champaña o vino,1/2 xícara de vinagre de alcool ou vinho
88,2-3 teaspoons sugar or 1-2 drops stevia,2-3 cucharaditas de azúcar o 1-2 gotas de stevia,2-3 colheres de chá de açúcar ou 1-2 gotas de estévia
89,"1 teaspoon shallots or white onion, finely grated","1 cucharadita de chalotas o cebolla blanca, finamente rallada","1 colher de chá de cebolinha ou cebola branca, finamente ralada"
90,1 teaspoon dijon mustard,1 cucharadita de mostaza de Dijon,1 colher de chá de mostarda dijon
91,1/4 teaspoon minced garlic,1/4 cucharadita de ajo picado,1/4 de colher de chá de alho picado
92,1-2 drops wild orange essential oil,1-2 gotas de aceite esencial de naranja silvestre,1-2 gotas de óleo essencial de laranja lima
93,"1 to 1 ½ heads of red cabbage, finely shredded",#N/A,#N/A
99,1 to 1 1/2 heads of cabbage,1 a 1 1/2 cabezas de repollo,1 a 1 1/2 cabeças de repolho
100,1 tablespoon sea salt per pound,1 cucharada de sal marina por cada medio kilo (1 libra),1 colher de sopa de sal marinho por quilo
101,1 onion,1 cebolla,1 cebola
102,2 drops of lemon oil to a pint size container of sauerkraut (after fermentation),#N/A,#N/A
103,1 tablespoon milk kefir grains,1 cucharada de granos de kéfir de leche,1 colher de sopa de grãos de kefir de leite
104,"8-16 ounces goat or cow milk (raw, unpasteurized is the best choice)",230 a 460 ml (8 a 16 onzas) de leche de cabra o vaca (sin pasteurizar es la mejor opción),"8-16 onças de leite de cabra ou vaca (cru, não pasteurizado é a melhor escolha)"
105,½ cup finely chopped lemongrass (3 or 4 stalks),½ taza de lemongrass finamente picado (3 o 4 tallos),½ xícara de capim limão picado (3 ou 4 talos)
106,2 tablespoons finely chopped shallots,2 cucharadas de chalotas finamente picadas,2 colheres de sopa de cebolinha picada
107,1 tbsp finely chopped garlic,1 cda. de ajo finamente picado,1 colher de sopa de alho picado
108,4 ½ teaspoons fish sauce,4 ½ cucharadas de salsa de pescado,4 ½ colheres de chá de molho de peixe
109,1 tbsp soy sauce,1 cda. de salsa de soja,1 colher de sopa de shoyu
110,1 pinch crushed red pepper flakes,1 pizca de hojuelas de pimienta roja triturada,1 pitada de flocos de pimenta vermelha esmagada
111,1 ½ teaspoons kosher salt,1 ½ cucharadita de sal kósher,1 ½ colher de chá de sal kosher
112,2 tablespoons granulated sugar or 1 tablespoon agave,2 cucharadas de azúcar granulada o 1 cucharada de agave,2 colheres de sopa de açúcar cristal ou 1 colher de sopa de agave
113,"1 (3-4 pounds) whole chicken, rinsed and patted dry","1 pollo entero (1,3 a 1,8 kilos [3 a 4 libras]), enjuagado y seco","1 (3-4 libras) de frango inteiro, enxaguado e seco"
114,2 tablespoons finely chopped fresh cilantro,2 cucharadas de cilantro fresco finamente picado,2 colheres de sopa de coentro fresco picadinho
115,1 tablespoon vegetable oil,1 cucharada de aceite vegetal,1 colher de sopa de óleo vegetal
116,3-4 drops lemongrass essential oil,3-4 gotas de aceite esencial de lemongrass,3-4 gotas de óleo essencial de capim limão
117,2 cups salad dressing,2 tazas de aderezo para ensaladas,2 xícaras de molho para salada
118,1 1/2 cups fine grated parmesan cheese,1 1/2 tazas de queso parmesano rallado fino,1 1/2 xícaras de queijo parmesão ralado
119,"2-3 drops oregano (to taste, start with 2 drops)","2-3 gotas de orégano (a gusto, comenzar con 2 gotas)","2-3 gotas de orégano (a gosto, comece com 2 gotas)"
120,4 boneless skinless chicken breasts,4 pechugas de pollo deshuesadas y sin piel,4 peitos de frango desossado sem pele
121,¾ cup dried cranberries,¾ taza de arándanos secos,¾ xícara de cranberries secas
122,¾ cups baby spinach leaves,¾ tazas de brotes de hojas de espinaca,¾ xícaras de folhas de espinafre
123,1 tablespoon fresh lemon juice,1 cucharada de jugo de limón fresco,1 colher de sopa de suco de limão fresco
124,1 tablespoon raw honey,1 cucharada de miel pura,1 colher de sopa de mel cru
125,1 tablespoon olive oil,1 cucharada de aceite de oliva,1 colher de sopa de azeite
126,large pinch of salt,pizca grande de sal,pitada grande de sal
127,1 toothpick black pepper essential oil,1 inmersión de un palillo en aceite esencial de pimienta negra,1 pitada de óleo essencial de pimenta preta
128,"1 butternut squash, peeled and cut into a medium dice",1 calabaza pelada y cortada en dados medianos,"1 abóbora, descascada e cortada em cubos médios"
129,½ teaspoon coarse salt,½ cucharadita de sal gruesa,½ colher de chá de sal grosso
130,"½ large sweet onion, thinly sliced","½ cebolla dulce grande, en rodajas finas","½ cebola doce grande, finamente cortada"
131,"4 cups red quinoa, cooked and kept warm","4 tazas de quínoa roja, cocida y caliente","4 xícaras de quinoa vermelha, cozida e mantida quente"
132,"1 ½ cup wheat berries, cooked kept warm","1 ½ taza de granos de trigo, cocidos y calientes","1 ½ xícara de bagas de trigo, cozido, mantido aquecido"
133,4 cups mixed baby greens,4 tazas de brotes mixtos de lechuga,4 xícaras de verduras mistas
134,"¹/3-½ cup crumbled goat, gorgonzola, bleu, or feta cheese","¹/3-½ taza de queso de cabra desmenuzado, gorgonzola, bleu o queso feta","¹ / 3-½ xícara de queijo de cabra, gorgonzola, bleu ou queijo feta desintegrado"
135,"1 pear, thinly sliced","1 pera, en rodajas finas",1 pera em fatias finas
136,¼-½ cup thinly sliced red onion,¼-½ taza de cebolla roja en rodajas finas,¼-½ xícara de cebola roxa em fatias finas
137,crushed pecans or caramelized almond,nueces pecán trituradas o almendras caramelizadas,nozes trituradas ou amêndoa caramelizada
138,pomegranate seeds,semillas de granada,sementes de romã
139,2 cups ketchup,2 tazas de kétchup,2 xícaras de ketchup
140,1 cups water,1 taza de agua,1 xícara de água
141,2/3 cup light brown sugar,2/3 taza de azúcar morena clara,2/3 xícara de açúcar mascavo claro
142,½ cup apple cider vinegar,½ taza de vinagre de manzana,½ xícara de vinagre de maçã
143,1 ¼ tablespoon Worcestershire sauce,1 ¼ cucharada de salsa Worcestershire,1 colher de sopa de molho inglês
144,½ tablespoon onion powder,½ cucharada de cebolla en polvo,½ colher de sopa de cebola em pó
145,"½ tablespoon garlic, minced",½ cucharada de ajo picado,½ colher de sopa de alho picado
146,½ tablespoon ground mustard,½ cucharada de mostaza molida,½ colher de sopa de mostarda moída
147,2 toothpick swirls liquid smoke,2 inmersiones en espiral de un palillo en humo líquido,2 pitadas de fumaça líquida
148,2 drops black pepper essential oil,2 gotas de aceite esencial de pimienta negra,2 gotas de óleo essencial de pimenta preta
149,1-2 drops lemon essential oil,1-2 gotas de aceite esencial de limón,1-2 gotas de óleo essencial de limão siciliano
150,2 tablespoons sea salt,2 cucharadas de sal marina,2 colheres de sopa de sal marinho
151,"1 drop each: rosemary, basil, oregano, and thyme essential oil","1 gota de cada uno: aceite esencial de romero, albahaca, orégano y tomillo","1 gota cada: óleo essencial de alecrim, manjericão, orégano e tomilho"
152,2 cups water,2 tazas de agua,2 xícaras de água
153,1 tablespoon coconut oil,1 cucharada de aceite de coco,1 colher de sopa de óleo de coco
154,2 drops lime essential oil,2 gotas de aceite esencial de lima,2 gotas de óleo essencial de limão
155,1 cup white rice,1 taza de arroz blanco,1 xícara de arroz branco
156,½ toothpick swirl cilantro essential oil,½ inmersión en espiral de un palillo en aceite esencial de cilantro,½ pitada de óleo essencial de coentro
157,½ cup green chili salsa,½ taza de salsa de chile verde,½ xícara de molho de pimenta verde
158,fresh cilantro,cilantro fresco,coentro fresco
159,dash of sea salt and ground pepper,pizca de sal marina y pimienta molida,pitada de sal marinho e pimenta moída
160,"1 pound medium zucchini, julienned","1/2 kilo (1 libra) de calabacín mediano, cortado en juliana","1 quilo de abobrinha média, à julienne"
161,"1 pound medium mushrooms, sliced thin","1/2 kilo (1 libra) de champiñones medianos, en rodajas finas","1 libra cogumelos médios, finamente cortados"
162,3 tablespoons olive oil,3 cucharadas de aceite de oliva,3 colheres de sopa de azeite
163,"1 cup green onions, sliced thinly","1 taza de cebolla de verdeo, en rodajas finas","1 xícara de cebolinha, cortada em fatias finas"
164,2 cloves minced garlic,2 dientes de ajo picado,2 dentes de alho picados
165,1-2 toothpick dips basil oil to taste,"1-2 inmersiones de un palillo en aceite de albahaca, a gusto","1-2 pitadas de óleo de manjericão, a gosto"
166,1 toothpick dip black pepper oil,1 inmersión de un palillo en aceite de pimienta negra,1 pitada de óleo de pimenta preta
167,½ teaspoon sea salt,½ cucharadita de sal marina,½ colher de chá de sal marinho
168,"3 tablespoon butter, softened","3 cucharadas de mantequilla, suavizada","3 colher de sopa de manteiga, amolecida"
169,¼ teaspoon sea and pepper,¼ cucharadita de sal marina y pimienta,1/4 colher de chá de sal marinho e pimenta
170,2 teaspoon parsley,2 cucharaditas de perejil,2 colher de chá de salsa
171,"1 ½ cups grated parmesan cheese, divided","1 ½ tazas de queso parmesano rallado, dividido","1 ½ xícaras de queijo parmesão ralado, dividido"
172,1 pound noodles of your choice,1/2 kilo (1 libra) de fideos a elección,1 libra de macarrão de sua escolha
173,½ cup coconut milk,½ taza de leche de coco,½ xícara de leite de coco
174,1 toothpick dip lime essential oil,1 inmersión de un palillo en aceite esencial de lima,1 pitada de óleo essencial de limão
175,1 cup kale,1 taza de col rizada,1 xícara de couve
176,1 cup spinach,1 taza de espinaca,1 xícara de espinafre
177,1 cup chopped pineapple,1 taza de piña picada,1 xícara de abacaxi picado
178,½ cup frozen mango,½ taza de mango congelado,½ xícara de manga congelada
179,4 frozen strawberries,4 frutillas congeladas,4 morangos congelados
180,1 banana,1 plátano,1 banana
181,water as needed for consistency,agua según sea necesario para la consistencia,água conforme necessário para consistência
182,2 cups kale,2 tazas de col rizada,2 xícaras de couve
183,1 cup chopped tomato or grape tomatoes,1 taza de tomate picado o tomates cherry,1 xícara de tomate picado ou tomate grape
184,¾ cup chopped cucumber,¾ taza de pepino picado,¾ xícara de pepino picado
185,1 toothpick dip black pepper essential oil,1 inmersión de un palillo en aceite esencial de pimienta negra,1 pitada de óleo essencial de pimenta preta
186,"1-2 cups water, as desired for consistency","1-2 tazas de agua, según lo deseado para la consistencia","1-2 xícaras de água, conforme desejado para consistência"
187,1 cup ice,1 taza de hielo,1 xícara de gelo
188,1 ½ quarts popped corn,1 ½ cuarto de galón de palomitas de maíz,1 ½ quartos de galão de milho estourado
189,3 tablespoons + 1 teaspoon butter,3 cucharadas + 1 cucharadita de mantequilla,3 colheres de sopa + 1 colher de chá de manteiga
190,½ cup sugar,½ taza de azúcar,½ xícara de açúcar
191,2 tablespoon water,2 cucharadas de agua,2 colheres de sopa de água
192,½ teaspoon vanilla extract (only when using citrus oil),½ cucharadita de extracto de vainilla (solo cuando se usa aceite de cítricos),½ colher de chá de extrato de baunilha (somente quando se usa óleo cítrico)
193,"1-2 dashes salt, to taste","1-2 pizcas de sal, a gusto","1-2 pitadas de sal, a gosto"
194,The essential oil of your choice,El aceite esencial que prefiera,O óleo essencial de sua escolha
195,1 popsicle tray with sticks or ice cube tray and toothpicks,1 bandeja para paletas con palitos o cubetera de hielo y palillos mondadientes,1 bandeja de picolé com palitos ou bandeja de cubos de gelo e palitos
196,1 can frozen juice concentrate (orange or other juice of your choice),1 lata de concentrado de jugo congelado (jugo de naranja u otro jugo a elección),1 lata de concentrado de suco congelado (suco de laranja ou outro de sua escolha)
197,½ can water,½ lata de agua,½ lata de água
198,1 banana,1 plátano,1 banana
199,2 ounces plain greek yogurt,60 ml (2 onzas) de yogur griego natural,2 onças de iogurte grego natural
200,1 teaspoon vanilla,1 cucharadita de vainilla,1 colher de chá de baunilha
201,1 drop wild orange essential oil,1 gota de aceite esencial de naranja silvestre,1 gota de óleo essencial de laranja lima
202,1 can diced stewed tomatoes roasted,1 lata de tomates en compota cortados en cubos y asados,1 lata escorrida de tomate seco
203,¾ cup chicken broth,¾ taza de caldo de pollo,¾ xícara de caldo de galinha
204,1 can tomato soup,1 lata de sopa de tomate,1 lata de sopa de tomate
205,8 ounces heavy cream or half and half,230 ml (8 onzas) de crema espesa o mitad de leche y mitad de crema,8 onças de creme de leite
206,2 ounces butter,50 gramos (2 onzas) de mantequilla,2 onças de manteiga
207,1 teaspoon sugar,1 cucharadita de azúcar,1 colher de chá de açúcar
209,2 toothpick dips of basil essential oil,2 inmersiones de un palillo en aceite esencial de albahaca,2 pitadas de óleo essencial de manjericão
210,2 toothpick dips of black pepper essential oil,2 inmersiones de un palillo en aceite esencial de pimienta,2 pitadas de óleo essencial de pimenta preta
211,Ground pepper to taste,Pimienta molida a gusto,"Pimenta moída, a gosto"
212,A few shakes of granulated garlic (optional),Unos toques de ajo granulado (opcional),Alguns punhados de alho granulado (opcional)
213,"1 ½ pounds chicken, cooked and shredded",700 gramos (1 ½ libra) de pollo cocido y desmenuzado,1 ½ libras de frango cozido e desfiado
214,1 can (15 ounce) diced tomatoes,1 lata (450 ml [15 onzas]) de tomates cortados en cubos,1 lata (15 onças) de tomate em cubos
215,1 can (10 ounce) enchilada sauce,1 lata (300 ml [10 onzas]) de salsa para enchiladas,1 lata (10 onças) molho enchilada
216,3 ½ tablespoons chicken base,3 ½ cucharadas de base de pollo,3 ½ colheres de sopa de base de frango
217,"1 medium onion, chopped",1 cebolla mediana picada,1 cebola média picada
218,"1 clove garlic, minced",1 diente de ajo picado,1 dente de alho picado
219,3 ½ cups water,3 ½ tazas de agua,3 ½ xícaras de água
220,1 teaspoon chili powder,1 cucharadita de chile en polvo,1 colher de chá de pimenta em pó
221,1 teaspoon salt,1 cucharadita de sal,1 colher de chá de sal
222,1 bay leaf (take out before serving),1 hoja de laurel (sacar antes de servir),1 folha de louro (retire antes de servir)
223,1 package frozen corn,1 paquete de maíz congelado,1 pacote de milho congelado
224,1 teaspoon cumin,1 cucharadita de comino,1 colher de chá de cominho
225,1 toothpick dip cilantro oil,1 inmersión de un palillo en aceite de cilantro,1 pitada de óleo de coentro
226,1 drop black pepper essential oil,1 gota de aceite esencial de pimienta negra,1 gota de óleo essencial de pimenta preta
227,fresh cilantro (optional),cilantro fresco (opcional),coentro fresco (opcional)
228,grated cheese,queso rallado,queijo ralado
229,tortilla chips,totopos,chips de tortilla
230,1 cup brown sugar,1 taza de azúcar morena,1 xícara de açúcar mascavo
231,1/4 cup coconut oil,1/4 taza de aceite de coco,1/4 xícara de óleo de coco
232,7-8 drops wild orange essential oil,7-8 gotas de aceite esencial de naranja silvestre,7-8 gotas de óleo essencial de laranja lima
233,8 ounces distilled water,230 ml (8 onzas) de agua destilada,8 onças de água destilada
234,1 tablespoon witch hazel,1 cucharada de agua de hamamelis,1 colher de sopa de hamamélis
235,13 drops grapefruit essential oil,13 gotas de aceite esencial de pomelo,13 gotas de óleo essencial de toranja
236,4 drops lavender essential oil,4 gotas de aceite esencial de lavanda,4 gotas de óleo essencial de lavanda
237,30 drops geranium,30 gotas de geranio,30 gotas de gerânio
238,15 drops lavender,15 gotas de lavanda,15 gotas de lavanda
239,10 drops cypress,10 gotas de ciprés,10 gotas de cipreste
240,5 drops frankincense,5 gotas de incienso,5 gotas de olíbano
241,5 drops helichrysum,5 gotas de helichrysum,5 gotas de immortelle
242,water,agua,água
243,4 drops lemon oil,4 gotas de aceite de limón,4 gotas de óleo de limão siciliano
244,4 drops lavender oil,4 gotas de aceite de lavanda,4 gotas de óleo de lavanda
245,4 drops peppermint oil,4 gotas de aceite de menta,4 gotas de óleo de hortelã-pimenta
246,Fractionated coconut oil,Aceite de coco fraccionado,Óleo de coco fracionado
247,1 scoop vanilla meal replacement powder,1 cuchara de polvo de reemplazo alimenticio,1 colher pó de substituição de refeição sabor baunilha
248,3/4 cup vanilla almond milk,3/4 taza de leche de almendra sabor vainilla,3/4 xícara de leite de amêndoa com baunilha
249,1 tablespoon natural peanut butter,1 cucharada de mantequilla de maní natural,1 colher de sopa de manteiga de amendoim natural
250,1/2 banana,1/2 plátano,1/2 banana
251,1 cup ice,1 taza de hielo,1 xícara de gelo
252,3 drops lavender,3 gotas de lavanda,3 gotas de lavanda
253,2 drops roman chamomile,2 gotas de manzanilla romana,2 gotas de camomila romana
254,2 drops marjoram,2 gotas de mejorana,2 gotas de manjerona
255,1 drop helichrysum,1 gota de helichrysum,1 gota de immortelle
256,10 drops rosemary,10 gotas de romero,10 gotas de alecrim
257,10 drops peppermint,10 gotas de menta,10 gotas de óleo de hortelã-pimenta
258,10 drops thyme,10 gotas de tomillo,10 gotas de tomilho
259,10 drops clove,10 gotas de clavo de olor,10 gotas de cravo
260,5-6 drops of wild orange,5-6 gotas de naranja silvestre,5-6 gotas de laranja lima
261,1 cup water,1 taza de agua,1 xícara de água
262,2/3 cup shea butter,2/3 taza de mantequilla de karité,2/3 xícara de manteiga de karité
263,2/3 cup cocoa butter,2/3 taza de mantequilla de cacao,2/3 xícara de manteiga de cacau
264,1/4 cup fractionated coconut oil,1/4 taza de aceite de coco fraccionado,1/4 xícara de óleo de coco fracionado
265,5 drops sandalwood,5 gotas de sándalo,5 gotas de sândalo
266,5 drops peppermint,5 gotas de menta,5 gotas de hortelã-pimenta
267,5 drops melaleuca,5 gotas de melaleuca,5 gotas de tea tree
268,1/2 cup fractionated coconut,1/2 taza de coco fraccionado,1/2 xícara de coco fracionado
269,40 drops rosemary,40 gotas de romero,40 gotas de alecrim
270,25 drops basil,25 gotas de albahaca,25 gotas de manjericão
271,20 drops lemon,20 gotas de limón,20 gotas de limão siciliano
272,15 drops lavender,15 gotas de lavanda,15 gotas de lavanda
273,15 drops lemongrass,15 gotas de lemongrass,15 gotas de capim limão
274,10 drops peppermint,10 gotas de menta,10 gotas de óleo de hortelã-pimenta
275,1 cup baking soda,1 taza de bicarbonato,1 xícara de bicarbonato de sódio
276,1/2 cup cornstarch,1/2 taza de almidón de maíz,1/2 xícara de amido de milho
277,1/2 cup water,1/2 taza de agua,1/2 xícara de água
278,"10-15 drops of cassia, white fir, holiday blend, wild orange, or peppermint","10-15 gotas de casia, abeto blanco, ""Holiday Blend"", naranja silvestre o menta","10-15 gotas de cassia, abeto branco, mix de feriado, laranja lima ou hortelã-pimenta"
290,1 ½ cups liquid castile soap,1 ½ tazas de jabón de castilla líquido,1 ½ xícaras de sabão líquido de castela
291,2 tablespoons vegetable glycerin,2 cucharadas de glicerina vegetal,2 colheres de sopa de glicerina vegetal
292,½ tablespoon white sugar,½ cucharada de azúcar blanca,½ colher de sopa de açúcar refinado
293,30 drops cedarwood essential oil,30 gotas de aceite esencial de cedro,30 gotas de óleo essencial de cedro
294,20 drops clary sage essential oil,20 gotas de aceite esencial de salvia,20 gotas de óleo essencial de sálvia esclareia
295,10 drops ylang ylang essential oil,10 gotas de aceite esencial de ylang ylang,10 gotas de óleo essencial de ylang ylang
296,6 drops patchouli essential oil,6 gotas de aceite esencial de pachuli,6 gotas de óleo essencial de patchouli
297,5 tablespoons aloe vera gel,5 cucharadas de gel de aloe vera,5 colheres de sopa de gel de aloe vera
298,4 tablespoons water,4 cucharadas de agua,4 colheres de sopa de água
299,1/2 teaspoon vitamin e oil,1/2 cucharadita de aceite de vitamina E,1/2 colher de chá de óleo de vitamina E
300,10 drops protective blend,10 gotas de mezcla protectora,10 gotas do mix protetor
301,5 drops wild orange,5 gotas de naranja silvestre,5 gotas de laranja lima
302,Wool felt,Fieltro de lana,Feltro de lã
303,twine,cordel,barbante
304,10 drops of your favorite essential oils,10 gotas de su aceite esencial favorito,10 gotas de seus óleos essenciais favoritos
305,1 cup aloe vera juice,1 taza de jugo de aloe vera,1 xícara de suco de aloe vera
306,1/4 cup fractionated coconut oil,1/4 taza de aceite de coco fraccionado,1/4 xícara de óleo de coco fracionado
307,1 teaspoon vitamin e oil,1 taza de aceite de vitamina E,1 colher de chá de óleo de vitamina E
308,8 drops lavender,8 gotas de lavanda,8 gotas de lavanda
309,8 drops melaleuca,8 gotas de melaleuca,8 gotas de tea tree
310,8 drops roman chamomile,8 gotas de manzanilla romana,8 gotas de camomila romana
311,10 drops lemongrass,10 gotas de lemongrass,10 gotas de capim limão
312,10 drops lavender,10 gotas de lavanda,10 gotas de lavanda
313,10 drops geranium,10 gotas de geranio,10 gotas de gerânio
314,10 drops peppermint,10 gotas de menta,10 gotas de óleo de hortelã-pimenta
315,fractionated coconut oil,Aceite de coco fraccionado,Óleo de coco fracionado
316,6 tablespoons coconut oil,6 cucharadas de aceite de coco,6 colheres de sopa de óleo de coco
317,6 teaspoons baking soda,6 cucharaditas de bicarbonato,6 colheres de chá de bicarbonato de sódio
318,10 drops wild orange essential oil,10 gotas de aceite esencial de naranja silvestre,10 gotas de óleo essencial de laranja lima
