id,created_at,updated_at,name,image_url,color,latin_name,emotion_1,emotion_2,emotion_3,fact,research,is_featured,safety_information_id,page_number,sort_order,emotion_from,emotion_to,fact Spanish,fact Portuguese,descriptor 1 spanish,descriptor 2 spanish,descriptor 3 spanish,descriptor 1 Portuguese,Descriptor 2 Portuguese,Descriptor 3 Portuguese,Spanish From,Spanish To,Portuguese From,Portuguese To
20,2018-08-28 12:29:43,2019-04-08 16:15:14,Cilantro,oils/19771d4dc17a222f2bcd300596d62985.jpeg,D4310F,Coriandrum sativum,Fresh,Awakening,Cleansing,"Relatives of parsley, cilantro, and coriander essential oils come from the same plant. Cilantro is extracted from the leaf and coriander from the seed.",,0,2,90,15,Obsessed,Easygoing,"Parientes del perejil, los aceites esenciales de cilantro y coriandro provienen de la misma planta. El cilantro se extrae de la hoja y el coriandro de la semilla.","Parentes da salsa, coentro e coriandro óleos essenciais vêm da mesma planta. Coentro é extraído da folha e coriandro da semente.",Fresco,Revitalizador,De limpieza,Fresco,Despertar,Limpeza,Obsesionado,Expansivo,obcecado,expansivo
22,2018-08-28 12:29:43,2019-03-01 12:17:17,Clary Sage,oils/c09941437c693061d72e58be55665e64.jpeg,C569AD,Salvia sclarea,Balancing,Musky,Feminine,"Clary sage is derived from latin meaning ""clear eyes. "" medieval monks favored it for eye troubles.",,0,27,92,16,Limited,Enlightened,"Amaro deriva del latín y significa ""ojos claros"". Los monjes medievales lo usaban para los problemas en los ojos.","""Clary sage"" (sálvia esclareia) é derivado do latim que significa ""olhos claros"". "" monges medievais preferiam isso para problemas oculares.",Equilibrante,Almizclado,Femenino,Equilibrar,Almiscarado,Feminino,Limitado,Preparado,limitado,esclarecido
24,2018-08-28 12:29:43,2019-03-01 12:21:46,Clove,oils/6a02c5e7f03e2ae533c8761c4bb11acd.jpeg,32AD72,Eugenia caryophyllata,Warm,Spicy,Protective,"Clove is a powerful antioxidant. As a dried spice, it measures 300,000 on the ORAC scale and as an essential oil, measures over 1 million.",,0,28,93,17,Dominated,Supported,"El clavo de olor es un poderoso antioxidante. Como especia deshidratada, mide 300 000 en la escala que mide la capacidad de absorción de radicales de oxígeno (oxygen radical absorbance capacity, ORAC) y como aceite esencial, mide más de 1 millón.","Cravo é um poderoso antioxidante. Como tempero seco, mede 300.000 na escala ORAC e, como um óleo essencial, mede mais de 1 milhão.",Cálido,Aromático,Protector,Quente,Picante,Protetor,Dominado,Apoyado,dominado,auxiliado
25,2018-08-28 12:29:43,2019-04-02 14:14:04,Copaiba,oils/6b495145988186ce3d1dd0cbe07e6d11.jpeg,F87034,Copaifera offincinalis,Commanding,Comforting,Magnifying,Extracted from mature trees between 30-50 years in age and considered one of the most anti-inflammatory substances on earth.,,0,106,95,18,Plagued,Directed,Extraído de árboles maduros de entre 30 a 50 años de edad y considerado una de las sustancias con mayores capacidades antiinflamatorias de la tierra.,Extraído de árvores maduras entre 30 e 50 anos de idade e considerado uma das substâncias mais anti-inflamatórias do planeta.,Dominante,Reconfortante,Magnificador,Controlar,Confortar,Ampliar,,,,
26,2018-08-28 12:29:43,2019-03-01 12:28:51,Coriander,oils/efeec0fa40b6dc41f9e1db853c7a8e2a.jpeg,A7D324,Coriandrum sativum,Calming,Green,Stimulating,Coriander comes from the seeds of the cilantro herb; cilantro is from the leaf of the same plant.,,0,2,97,19,Apprehensive,Participating,El coriandro proviene de las semillas de la hierba cilantro; el cilantro proviene de la hoja de la misma planta.,O coriandro vem das sementes da erva de coentro; o coentro é da folha da mesma planta.,Calmante,Verde,Estimulante,Acalmar,Verde,Estimular,Aprensivo,Participante,apreensivo,participante
27,2018-08-28 12:29:43,2019-03-01 12:29:37,Cypress,oils/c7af514be362e69aae635d13ca05d665.jpeg,DA5351,Cupressus sempervirens,Lively,Clean,Energizing,"The Ancient Greeks loved cypress so much they dedicated it to one of their Gods, Pluto.",,0,32,99,20,Stalled,Progressing,"Los antiguos griegos adoraban tanto al ciprés que se lo dedicaron a uno de sus Dioses, Pluto.","Os antigos gregos amavam tanto o cipreste que o dedicaram a um dos seus deuses, Plutão.",Animado,Limpio,Energizante,Animado,Limpar,Energizante,Estancado,Progresivo,estagnado,progredindo
28,2018-08-28 12:29:43,2019-03-01 12:30:50,Dill,oils/4047e3ce3e52d457d137fb96417a6def.jpeg,CE2505,Anethum graveolens,Detoxifying,Disinfecting,Cleansing,Used extensively in soft drinks and alcoholic beverages.,,0,2,101,21,Avoiding,Intentional,Se utiliza ampliamente en refrescos y bebidas alcohólicas.,Usado amplamente em refrigerantes e bebidas alcoólicas.,Desintoxicante,Desinfectante,De limpieza,Desintoxicar,Desinfetar,Limpeza,Evitable,Voluntario,esquivo,intencional
29,2018-08-28 12:29:43,2019-03-01 12:31:04,Douglas Fir,oils/2085e5b99859b8a2c88436fa61ecb744.jpeg,568D72,Pseudotsuga menziesii,Cleansing,Promoting,Grounding,"Considered to be the classic Christmas tree, the Douglas fir tree was used by Native Americans in the Pacific Northwest to heal a wide variety of ailments.",,0,32,102,22,Upset,Renewed,"Se considera el árbol clásico de Navidad, el abeto Douglas fue utilizado por nativos americanos en el noroeste del Pacífico para curar una amplia variedad de enfermedades.","Considerada a clássica árvore de Natal, a árvore Abeto de Douglas foi usada pelos nativos americanos no noroeste do Pacífico para curar uma grande variedade de doenças.",De limpieza,Promotor,Estabilizador,Limpeza,Estimular,Aterramento,Molesto,Renovado,indisposto,renovado
30,2018-08-28 12:29:43,2019-03-01 12:31:50,Eucalyptus,oils/124affdf821c1ad426261a5074d38fe1.jpeg,9256A8,Eucalyptus radiata,Enlivening,Fresh,Clearing,Eucalyptus was widely used in World War 1 to control infections and influenza.,,0,33,103,23,Congested,Stimulated,El eucalipto se usó ampliamente en la Primera Guerra Mundial para controlar infecciones y la gripe.,O Eucalipto foi amplamente utilizado na Primeira Guerra Mundial para controlar infecções e influenza.,Vivificante,Fresco,Purificante,Animar,Fresco,Desobstruir,Congestionado,Estimulado,congestionado,estimulado
31,2018-08-28 12:29:43,2019-03-01 12:32:19,Fennel,oils/a8178e5c02db4b9afb0727b954603bf3.jpeg,D85664,Foeniculum vulgare,Strong,Purifying,Supporting,Ancient Roman warriors used fennel because it was believed it gave them strength during battle.,,0,34,105,24,Unproductive,Flourishing,Los guerreros del antiguo asentamiento romano utilizaban hinojo porque se pensaba que les daba fortaleza durante las batallas.,Os guerreiros romanos antigos usavam erva-doce porque acreditavam que isso lhes dava força durante a batalha.,Fuerte,Purificante,De refuerzo,Forte,Purificar,Apoiar,Improductivo,Exitoso,improdutivo,próspero
32,2018-08-28 12:29:43,2019-03-01 12:32:38,Frankincense,oils/cd06266d787e9960af88a7a7518d5034.jpeg,4DB2A2,Boswellia frereana,Royal,Resin,Woody,"Nearly all ancient religions have used frankincense in their spiritual practices including ancient Egyptians, Greeks, Romans, Christians, Jews, Muslims, Hindus, and Buddhists.",,0,2,107,25,Separated,Unified,"Casi todas las antiguas religiones han usado incienso en sus prácticas espirituales, incluso los antiguos egipcios, griegos, romanos, cristianos, judíos, musulmanes, hindúes y budistas.","Quase todas as religiões antigas usaram o olíbano em suas práticas espirituais, incluindo antigos egípcios, gregos, romanos, cristãos, judeus, muçulmanos, hindus e budistas.",Real,Resina,Leñoso,Régio,Resina,Amadeirado,Aislado,Unido,separado,unificado
33,2018-08-28 12:29:43,2019-03-01 12:32:56,Geranium,oils/9634a970609ff6b238b1655a430fd895.jpeg,BAC220,Pelargonium graveolens,Strengthening,Releasing,Stabilizing,"A powerful floral oil often referred to as the “poor man’s rose. ” if you don’t have rose, reach for geranium!",,0,25,108,26,Neglected,Mended,"Un poderoso aceite floral, que en general se denomina la ""rosa de los pobres"". Si no tiene una rosa, ¡busque un geranio!","Um poderoso óleo floral, muitas vezes chamado de ""rosa do pobre"". Se você não tiver rosa, pegue o gerânio!",Fortalecedor,Liberador,Estabilizador,Fortalecer,Liberar,Estabilizar,Rechazado,Reparado,negligenciado,reparado
34,2018-08-28 12:29:43,2019-03-01 12:33:14,Ginger,oils/bda5faa23904c26101bc9593c95c5701.jpeg,EB8622,Zingiber officinale,Warming,Accelerating,Stimulating,Ginger has been used as a medicinal herb for centuries.,,0,25,109,27,Apathetic,Activated,Se ha utilizado el jengibre como una hierba medicinal por siglos.,O gengibre é usado como erva medicinal há séculos.,Cálido,Acelerando,Estimulante,Reconfortar,Acelerar,Estimular,Apático,Activo,apático,ativado
35,2018-08-28 12:29:43,2019-03-01 12:33:29,Grapefruit,oils/eb22e1b29c6495483479d4839a7fd2e2.jpeg,A00E20,Citrus X paradisi,Citrus,Detoxifying,Fresh,Some prescription drugs contain a warning against grapefruit. The essential oil has different chemical composition than the fruit.,,0,37,111,28,Rejected,Validated,Algunos fármacos con receta contienen una advertencia contra el pomelo. El aceite esencial tiene una composición química diferente en comparación con la fruta.,Alguns medicamentos prescritos contêm uma advertência contra a toranja. O óleo essencial tem composição química diferente da fruta.,Cítrico,Desintoxicante,Fresco,Cítricos,Desintoxicar,Fresco,,,,
36,2018-08-28 12:29:43,2019-03-01 12:37:56,Helichrysum,oils/6f41c24e4e239832a13011af66c280e0.jpeg,B05B16,Helichrysum italicum,Healing,Fusing,Regenerating,This precious oil is often hand-picked on the island of Corsica and used as “liquid stitches. ”,,0,2,113,29,Wounded,Reassured,"Este valioso aceite, en general, se cosecha a mano en la isla de Córcega y se usa como ""puntos líquidos"".","Este óleo precioso é frequentemente escolhido a dedo na ilha de Córsega e usado como ""pontos líquidos"".",Cicatrizante,Fundible,Regenerador,Curar,Fusão,Regenerar,Lastimado,Liberado,magoado,libertado
37,2018-08-28 12:29:43,2019-03-01 12:38:18,Jasmine,oils/37fde0370dd2ae8758f55d89c7c7cc22.jpeg,DE4959,Jasminum grandiflora,Euphoria,Splendor,Joy,"In India, jasmine is known as “queen of the night” because it typically blossoms in the night.",,0,2,114,0,Hampered,Liberated,"En India, se conoce al jazmín como la ""reina de la noche"" porque, en general, florece de noche.","Na Índia, o jasmim é conhecido como ""rainha da noite"" porque geralmente floresce à noite.",Euforia,Esplendor,Alegría,Euforia,Esplendor,Alegria,Obstaculizado,Liberado,inibido,libertado
38,2018-08-28 12:29:43,2019-03-01 12:38:41,Juniper Berry,oils/e2ee19c18e3c02e476fee133a3f4936d.jpeg,CCD731,Juniperus communis,Detoxifying,Revitalizing,Toning,"A favorite oil for its fragrance, juniper berries are also used for making gin.",,0,2,115,0,Denying,Insightful,"Un aceite favorito por su fragancia, las bayas de enebro también se utilizan para elaborar gin.","Um óleo favorito por sua fragrância, as bagas de zimbro também são usadas para fazer gin.",Desintoxicante,Revitalizador,Tonificante,Desintoxicar,Revitalizar,Tonificar,Negar,ser Perspicaz,negação,perspicácia
39,2018-08-28 12:29:43,2019-03-01 12:39:21,Lavender,oils/1a773ba05cc9a3c2e043aa38e3f25ca3.jpeg,9F67B4,Lavandula angustifolia,Calming,Regenerating,Healing,"Lavender means ""to wash"" in Latin. It is likely the most used essential oil globally, and for good reason, as it serves in all things calming!",,0,2,119,0,Unheard,Expressed,"Lavanda significa ""lavar"" en Latín. Probablemente, es el aceite esencial más utilizado en el mundo, y por una buena razón, ¡funciona como tranquilizante!","""Lavender"" (lavanda) significa ""lavar"" em latim. É provavelmente o óleo essencial mais utilizado em nível mundial e por boas razões, pois serve em todas as coisas calmantes!",Calmante,Regenerador,Cicatrizante,Acalmar,Regenerar,Curar,Inaudito,Expresivo,não ouvido,expressado
40,2018-08-28 12:29:43,2019-03-01 12:39:39,Lemon,oils/9c5cc7fe51b220f9e6e1ad62c2a4c5fa.jpeg,DC4A1E,Citrus limon,Uplifting,Invigorating,Refreshing,It takes approximately 45 lemons to produce a 15 ml bottle of lemon essential oil.,,0,37,121,0,Mindless,Energized,"Se necesitan, aproximadamente, 45 limones para producir una botella de 15 ml de aceite esencial de limón.",São necessários aproximadamente 45 limões sicilianos para produzir um frasco de 15 ml de óleo essencial de limão siciliano.,Motivador,Vigorizante,Refrescante,Edificante,Revigorante,Refrescante,Distraído,Energizado,descuidado,energizado
41,2018-08-28 12:29:43,2019-03-01 12:43:08,Lemongrass,oils/486da071794992237ecf08b24d792d59.jpeg,F5AC0F,Cymbopogon flexuous,Electrifying,Regenerating,Purifying,Lemongrass essential oil is used in the pharmaceutical industry for the synthesis of vitamin A.,,0,25,122,0,Obstructed,Flowing,Se usa el aceite esencial de lemongrass en la industria farmacéutica para la síntesis de la vitamina A.,Óleo essencial de capim-limão é usado na indústria farmacêutica para a síntese de vitamina A.,Electrificante,Regenerador,Purificante,Eletrizante,Regenerar,Purificar,Obstruido,Suelto,obstruído,fluido
42,2018-08-28 12:29:43,2019-03-01 12:43:23,Lime,oils/09406ef4d510d3e52e43e16f6af68e2b.jpeg,A3D218,Citrus Aurantifolia,Renewing,Energizing,Purifying,A popular oil in perfumery for men. In times past British sailors drank lime juice to prevent scurvy.,,0,37,123,0,Faint,Enlivened,"Un aceite popular en la perfumería para hombres. En el pasado, los marineros británicos tomaban jugo de limón para prevenir el escorbuto.","Um óleo popular em perfumaria para homens. Em tempos passados, os marinheiros britânicos bebiam suco de limão para evitar o escorbuto.",Renovador,Energizante,Purificante,Renovar,Energizante,Purificar,Débil,Animado,fatigado,aliviado
43,2018-08-28 12:29:43,2019-04-03 12:48:44,Magnolia,oils/526342c630e7f15a4e987e88b83c5533.jpeg,6FD4C5,Michelia X alba,Opening,Resplendent,Heavenly,"Fossilized magnolia genus is over 20 million years old, a time prior to the presence of bees, and was pollinated by beetles. Harvested at night when blooms are most fragrant, magnolia was traditionally used in ceremonies to enhance confidence and well-being.",,1,1,125,0,Disturbed,Confident,"El género de especies fosilizadas de magnolia tiene más de 20 millones de años, un tiempo antes de la presencia de abejas y se polinizó por los escarabajos. La magnolia, que se cosecha por la noche cuando las flores tienen más fragancia, tradicionalmente se utilizaba en ceremonias para mejorar el autoestima y el bienestar.","O gênero de magnólia fossilizado tem mais de 20 milhões de anos, um tempo anterior à presença das abelhas, e foi polinizado por besouros. Colhida à noite, quando as flores são mais perfumadas, a magnólia era tradicionalmente usada em cerimônias para aumentar a confiança e o bem-estar.",Inicial,Resplandeciente,Celestial,Abrir,Resplandecente,Celestial,Perturbado,Seguro de sí mismo,perturbado,confiante
44,2018-08-28 12:29:43,2019-04-03 12:50:43,Marjoram,oils/b6a7f09694d961394f56ddc57197fedd.jpeg,D84151,Origanum marjorana,Relaxing,Connecting,Pleasing,"Also known as “joy of the mountains”, marjoram symbolized happiness to the ancient Greeks and Romans.",,0,27,127,0,Doubtful,Trusting,"También conocida como la ""alegría de las montañas"", la majorana simbolizaba la felicidad para los antiguos griegos y romanos.","Também conhecida como ""alegria das montanhas"", a manjerona simbolizava felicidade para os antigos gregos e romanos.",Relajante,De conexión,Agradable,Relaxante,Conectar,Prazeroso,Dudoso,Dudoso,duvidoso,confiante
45,2018-08-28 12:29:43,2019-04-03 12:50:59,Melaleuca,oils/a868c7c10d7a0aa4d1203b07ebeba9c7.jpeg,99091B,Melaleuca alternifolia,Powerful,Cleansing,Resolving,"With 12 times the antiseptic power of a phenol, Australian Aborigines have used ""tea tree"" for centuries, often crushing leaves in their hands and inhaling the aroma for colds and illnesses.",,0,2,129,0,Unsure,Collected,"Con 12 veces el poder antiséptico de un fenol, los aborígenes australianos han usado el ""árbol del té"" por siglos, a menudo triturando las hojas en sus manos e inhalando el aroma para resfriados y enfermedades.","Com 12 vezes o poder antisséptico de um fenol, os aborígines australianos usaram a ""árvore do chá"" durante séculos, muitas vezes esmagando folhas nas mãos e inalando o aroma para resfriados e doenças.",Poderoso,De limpieza,Remediador,Poderoso,Limpeza,Resolução,Inseguro,Compuesto,incerto,recolhido
46,2018-08-28 12:29:43,2019-04-03 12:51:17,Melissa,oils/329681c50f139d96275d165f6318e291.jpeg,BDC615,Melissa officinalis,Awakening,Authentic,Restorative,"Also known as ""lemon balm. "" to make this precious oil it requires 66 lbs/30 kgs of plant matter in order to fill one 5ml bottle.",,0,2,130,0,Depressed,Light-filled,"También se conoce como ""bálsamo de limón"". Para hacer este valioso aceite se necesitan 60 lb/30 kg de la materia de la planta para llenar una botella de 5 ml.","Também conhecido como ""erva-cidreira. ""Para fazer este óleo precioso, são necessários 66 lbs/30 kgs de matéria vegetal para encher um frasco de 5ml.",Revitalizador,Auténtico,Restaurativo,Despertar,Autêntico,Restaurador,Deprimido,Lleno de luz,deprimido,iluminado
48,2018-08-28 12:29:43,2019-04-03 12:51:38,Myrrh,oils/5c1590b73aa8e6ef577c6f8eed070c60.jpeg,03B3AF,Commiphora myrrh,Drying,Healing,Nurturing,Myrrh means “bitter” and was referred to in the bible as the balm of Gilead. It was given as a gift to the Christ child and also presented at His death to be used prior to burial.,,0,2,131,0,Disconnected,Nurtured,"Mirra significa """"bitterâ€ y en la Biblia se hace referencia como el bálsamo de Gilead. Se entregó como obsequio al niño Jesús y también estuvo presente en su muerte para usarse antes de la sepultura.","Mirra significa ""amargo"" e foi referido na Bíblia como o bálsamo de Gileade. Foi dado como um presente para o menino Jesus e também apresentado em Sua morte para ser usado antes do enterro.",Secador,Cicatrizante,Crianza,Secativo,Curar,Nutrir,Desconectado,Querido,desconectado,estimulado
49,2018-08-28 12:29:43,2019-04-03 12:51:56,Neroli,oils/67b24add6136cc7f31d58a5a8ddd47b1.jpeg,F08A25,Citrus aurantium,Arousing,Rejuvenating,Tranquilizing,1 ton of blossoms is needed to produce 1 kg of neroli oil. This historically desired fragrance can be heavily diluted and remain highly effective.,,0,25,133,0,Afflicted,Released,Se necesita 1 tonelada de flores para producir 1 kg de aceite de flores de naranjo. Esta fragancia históricamente deseada puede diluirse abundantemente y seguir siendo altamente eficaz.,1 tonelada de flores é necessária para produzir 1 kg de óleo de néroli. Esta fragrância historicamente desejada pode ser fortemente diluída e permanecer altamente eficaz.,Excitante,Rejuvenecedor,Tranquilizante,Despertar,Rejuvenescer,Tranquilizar,Afligido,Liberado,aflito,libertado
50,2018-08-28 12:29:43,2019-04-03 12:53:31,Oregano,oils/24867e523c7a7dd6ff2d1193b323b435.jpeg,4EB3A4,Origanum vulgare,Strong,Resolving,Powerful,This powerful and potent essential oil packs a punch. It is helpful against antibiotic-resistant bacteria.,,0,28,134,0,Obstinate,Unattached,Este poderoso y potente aceite esencial es sumamente potente. Es útil contra las bacterias resistentes a antibióticos.,Este poderoso e potente óleo essencial é um sucesso. É útil contra bactérias resistentes a antibióticos.,Fuerte,Remediador,Poderoso,Forte,Resolução,Poderoso,Obstinado,Libre,obstinado,desapegado
51,2018-08-28 12:29:43,2019-04-03 12:53:46,Patchouli,oils/6ef5094694a6cb5e047e4d4be02b2c6b.jpeg,BAC316,Pogostemon cablin,Calming,Recovering,Stabilizing,Patchouli has a long history in the perfume trade but became famous from the 1960's hippie movement.,,0,2,135,0,Degraded,Enhanced,El pachuli tiene una larga historia en el comercio del perfume pero se volvió famoso en los años 60 con el movimiento hippie.,"O Patchouli tem uma longa história no comércio de perfumes, mas tornou-se famoso a partir do movimento hippie dos anos 60.",Calmante,Recuperador,Estabilizador,Acalmar,Recuperar,Estabilizar,Degradado,Fortalecido,degradado,aprimorado
52,2018-08-28 12:29:43,2019-04-03 12:54:11,Peppermint,oils/4020a3117580dc1caafba6cc0e556f9c.jpeg,D12A06,Menta piperita,Adaptive,Invigorating,Cooling,"Peppermint, with its stimulant qualities, and lavender, with its sedative qualities, make a great combination.",,0,49,137,0,Hindered,Invigorated,"La hierbabuena, con sus cualidades estimulantes,  y la lavanda, con sus cualidades sedativas, son una gran combinación.","Hortelã-pimenta, com suas qualidades estimulantes, e lavanda, com suas qualidades sedativas, formam uma ótima combinação.",Adaptable,Vigorizante,Refrescante,Adaptável,Revigorante,Resfriar,Obstruido,Vigorizado,entravado,revigorado
53,2018-08-28 12:29:43,2019-04-03 12:54:32,Petitgrain,oils/2ba96f5d35e063cb08beb35fa4725691.jpeg,00B4AF,Citrus aurantium,Uplifting,Invigorating,Refreshing,Petitgrain has a long history of use for cleaning and immune support.,,0,25,139,0,Conflicted,Harmonized,Petitgrain tiene una larga historia de uso en actividades de limpieza y de refuerzo del sistema inmunitario.,O Petitgrain tem uma longa história de uso para limpeza e suporte imunológico.,Motivador,Vigorizante,Refrescante,Edificante,Revigorante,Refrescante,En conflicto,Armonizado,,
54,2018-08-28 12:29:43,2019-04-03 12:54:50,Pink Pepper,oils/5c02fad6cf23cc1cc88d8c010427e021.jpeg,CA3747,Schinus molle,Eliminating,Clarifying,Enlivening,"This powerhouse faux pepper (or fake, because it's not hot) potentizes a number of other essential oils in highly complementary ways.",,1,49,140,0,Impeded,Aroused,"Esta poderosa falsa pimienta (o de imitación, porque no es picante) potencia una cantidad de otros aceites esenciales de formas altamente complementarias.","Esta poderosa pimenta falsa (ou imitação, porque não é quente) potencia uma série de outros óleos essenciais de maneiras altamente complementares.",Eliminador,Purificador,Vivificante,Eliminar,Esclarecer,Animar,Impedido,Estimulado,,
55,2018-08-28 12:29:43,2019-04-03 12:55:53,Roman Chamomile,oils/f3309bfb8471b39eb62c33b739897d85.jpeg,FF8B1B,Anthemis nobilis,Bright,Calming,Sweet,Ancient Romans used Roman chamomile before battle to empower them with courage and clear minds.,,0,2,143,0,Frustrated,Purposeful,Los antiguos romanos utilizaban manzanilla romana antes de una batalla para empoderarse con coraje y limpiar sus mentes.,Os romanos antigos usavam a camomila romana antes da batalha para fortalecê-los com coragem e mente clara.,Brillante,Calmante,Dulce,Brilhante,Acalmar,Doce,Frustrado,Determinado,,
