id,created_at,updated_at,name,Spanish,Portuguese,image_url,color,short_description,Spanish description,Portuguese description,is_featured,sort_order,ailment_type
17,2018-08-23 15:54:34,2018-12-19 12:37:29,Actinic Keratosis,Queratosis actínica,Ceratose Actínica,http://placehold.it/200,,A small rough reddish colored spot on the skin that comes from too much sun exposure.,"Pequeño grano rojizo y áspero en la piel, que se produce por larga exposición a los rayos del sol.",Um pequeno ponto avermelhado áspero na pele que vem de muita exposição ao sol.,0,0,0
18,2018-08-23 15:54:34,2018-12-19 12:37:29,ADD/ADHD,ADD/ADHD,TDA/TDAH,http://placehold.it/200,,"A disorder characterized by short attention span, impulsivity, and in some cases hyperactivity.","Trastorno caracterizado por atención dispersa, impaciencia y en algunos casos, hiperactividad.","Transtorno caracterizado por curto período de atenção, impulsividade e, em alguns casos, hiperatividade.",0,0,0
19,2018-08-23 15:54:34,2018-12-19 12:37:29,Addictions,Adicciones,Vícios,http://placehold.it/200,,"The repeated involvement with a substance or activity, despite the potential substantial harm it may cause, because that involvement was (and may continue to be) pleasurable and/or valuable.","Involucrarse de manera repetida con una sustancia o actividad, sin importar el potencial daño substancial que puede causar, porque involucrarse era placentero (y es posible que siga siendo placentero) y/o valioso.","O envolvimento reiterado com uma substância ou atividade, apesar do dano substancial potencial que possa causar, porque esse envolvimento foi (e pode continuar a ser) prazeroso e/ou significativo.",0,0,0
20,2018-08-23 15:54:34,2018-12-19 12:37:29,Addison’s Disease,Enfermedad de Addison,Doença de Addison,http://placehold.it/200,,A long-term endocrine disorder in which the adrenal glands do not produce enough steroid hormones.,Trastorno endocrino de difícil tratamiento en el que las glándulas suprarrenales no producen suficientes hormonasesteroides.,"Transtorno endócrino de longo prazo, no qual as glândulas suprarrenais não produzem hormônios esteroides suficientes.",0,0,0
21,2018-08-23 15:54:34,2019-02-26 15:25:32,Adrenal Fatigue,Fatiga adrenal,Fadiga adrenal,http://placehold.it/200,,"A decrease in the adrenal glands’ ability to produce a diversity of hormones essential to life, commonly caused by chronic stress.","Disminución en las glándulas suprarrenales de la capacidad de producción de diferentes hormonas críticas para la supervivencia, generalmente provocada por estrés crónico.","Uma diminuição na capacidade das glândulas suprarrenais em produzir uma diversidade de hormônios essenciais à vida, comumente causados ​​pelo estresse crônico.",0,0,0
22,2018-08-23 15:54:34,2018-12-19 12:37:29,Age Spots,Manchas de la edad,Manchas de idade,http://placehold.it/200,,"Flat tan, brown, or black spots that vary in size that usually appear on the face, hands, shoulders, and arms.","Granos de color oscuro, marrón o negro, que varían en tamaño y aparecen generalmente en el rostro, las manos, la espalda y los brazos.","Manchas acastanhadas, marrons ou pretas que variam em tamanho e que geralmente aparecem no rosto, mãos, ombros e braços.",0,0,0
23,2018-08-23 15:54:34,2019-06-06 08:20:18,Agitation,Agitación,Agitação,http://placehold.it/200,,A feeling of restlessness associated with increased motor activity.,Sensación de desasosiego junto con aumento de la actividad motriz.,Uma sensação de inquietação associada ao aumento da atividade motora.,0,0,0
24,2018-08-23 15:54:34,2019-06-06 08:20:18,AIDS or HIV,SIDA o VIH,AIDS ou HIV,http://placehold.it/200,,"A disease in which there is a severe loss of the body’s cellular immunity, greatly lowering the resistance to infection and malignancy.","Enfermedad que presenta disminución grave del sistema inmune en las células del organismo, debilitando en grado sumo la resistencia a la infección y al cáncer.","Uma doença na qual há uma perda severa da imunidade celular do corpo, diminuindo muito a resistência à infecção e malignidade.",0,0,0
25,2018-08-23 15:54:34,2019-06-06 08:20:18,Alcohol Addiction,Adicción al alcohol,Alcoolismo,http://placehold.it/200,,"The frequent intake of large amounts of alcohol, commonly noted by the impairment of regular functioning.","Consumo frecuente de grandes cantidades de bebidas alcohólicas, que se manifiesta generalmente por un deterioro del funcionamiento orgánico normal.","A ingestão freqüente de grandes quantidades de álcool, comumente observada pelo comprometimento do funcionamento regular.",0,0,0
26,2018-08-23 15:54:34,2019-06-06 08:20:17,Alertness,Lucidez mental,Estado de Alerta,http://placehold.it/200,,"A measure of being mentally keen, active, and rapidly aware of one’s environment.","Una medida de estar mentalmente agudo, activo y rápidamente consciente del entorno.","Estar mentalmente aguçado, ativo e ciente do ambiente ao redor.",0,0,0
27,2018-08-23 15:54:34,2018-12-19 12:37:29,Alkalosis,Alcalosis,Alcalose,http://placehold.it/200,,Uncommonly high alkalinity of blood and body fluids.,Infrecuente alta alcalinidad de la sangre y fluidos corporales.,Alcalinidade raramente alta do sangue e fluidos corporais.,0,0,0
28,2018-08-23 15:54:34,2018-12-19 12:37:29,Allergies (insect),Alergias (insectos),Alergias (inseto),http://placehold.it/200,,A hypersensitive reaction to an insect allergen.,Reacción hipersensible ante una sustancia alergénica producida por un insecto.,Uma reação de hipersensibilidade a um alérgeno de inseto.,0,0,0
29,2018-08-23 15:54:34,2018-12-19 12:37:29,Allergies (pet dander),Alergias (caspa de mascotas),Alergias (pelos de animais),http://placehold.it/200,,"An overreaction of the immune system to ordinarily harmless pet dander resulting in skin rash, sneezing or wheezing.","Reacción exagerada del sistema inmunológico a la caspa generalmente inofensiva de animales domésticos, provocando sarpullido, estornudo o sibilancia.","Uma reação excessiva do sistema imunológico a pelos de animais normalmente inofensivos, resultando em erupções cutâneas, espirros ou chiado no peito.",0,0,0
30,2018-08-23 15:54:34,2019-07-11 21:56:45,Allergies (respiratory),Alergias (en sistema respiratorio),Alergias (respiratórias),http://placehold.it/200,,Uncommon reactions of the respiratory system that arise in response to otherwise inoffensive substances.,Reacciones esporádicas en el sistema respiratorio como respuesta a sustancias que generalmente son inofensivas.,Reações incomuns do sistema respiratório que surgem em resposta a substâncias inofensivas.,0,0,0
31,2018-08-23 15:54:34,2018-12-19 12:37:29,Alzheimer’s Disease,Enfermedad de Alzheimer,Doença de Alzheimer,http://placehold.it/200,,A progressive neurological disease that destroys memory and other important mental functions.,Enfermedad neurológica progresiva que acaba con la memoria y con otras funciones del cerebro.,Uma doença neurológica progressiva que destrói a memória e outras funções mentais importantes.,0,0,0
32,2018-08-23 15:54:34,2018-12-19 12:37:29,Amenorrhea,Amenorrea,Amenorreia,http://placehold.it/200,,"Women who have missed at least three menstrual periods in a row, as do girls who haven’t begun menstruation by age 15.","Mujer que no ha presentado tres períodos menstruales consecutivos, de igual forma que sucede en adolescentes que no han iniciado la menstruación a la edad de 15 años.","Mulheres que perderam pelo menos três períodos menstruais seguidos, assim como as meninas que não iniciaram a menstruação aos 15 anos.",0,0,0
33,2018-08-23 15:54:34,2018-12-19 12:37:29,Amnesia,Amnesia,Amnésia,http://placehold.it/200,,A partial or total loss of memory.,Pérdida parcial o total de la memoria.,Uma perda parcial ou total de memória.,0,0,0
34,2018-08-23 15:54:34,2018-12-19 12:37:29,Amyotrophic Lateral Sclerosis (ALS) / Lou Gehrig’s Disease,Enfermedad de Lou Gehrig (ALS en inglés),Esclerose Lateral Amiotrófica (ELA) / Doença de Lou Gehrig,http://placehold.it/200,,"Also known as Lou Gehrig’s disease, ALS is a neurological disease that attacks the nerve cells that control voluntary muscles.","Enfermedad neurológica degenerativa de rápido desarrollo, que ataca y arrasa las células nerviosas que controlan los músculos voluntarios.","Também conhecida como doença de Lou Gehrig, a ELA é uma doença neurológica que ataca as células nervosas que controlam os músculos voluntários.",0,0,0
35,2018-08-23 15:54:34,2018-12-19 12:37:29,Anemia,Anemia,Anemia,http://placehold.it/200,,A condition in which there is an unusually low number of red blood cells in the bloodstream.,Una condición en la cual hay un número inusualmente bajo de glóbulos rojos en la sangre.,Condição na qual há um número anormalmente baixo de glóbulos vermelhos na corrente sanguínea.,0,0,0
36,2018-08-23 15:54:34,2019-06-10 21:09:00,Aneurysm,Aneurisma,Aneurisma,http://placehold.it/200,,Excessive localized enlargement or ballooning of an artery caused by a weakening of the artery wall.,"Agrandamiento o inflamación localizada y exagerada de una arteria, provocada por el debilitamiento de la pared arterial.",Excesso de aumento localizado ou balonização de uma artéria causada por um enfraquecimento da parede da artéria.,0,0,0
37,2018-08-23 15:54:34,2018-12-19 12:37:29,Anger,Ira,Raiva,http://placehold.it/200,,"A strong feeling of annoyance, displeasure, or hostility.","Fuerte sensación de fastidio, desagrado o aversión.","Um forte sentimento de aborrecimento, desprazer ou hostilidade.",0,0,0
38,2018-08-23 15:54:34,2018-12-19 12:37:29,Angina,Angina,Angina,http://placehold.it/200,,A condition marked by severe pain in the chest caused by an inadequate blood supply to the heart.,Condición médica caracterizada por fuerte dolor en el pecho como resultado de un suministro insuficiente de sangre al corazón.,Condição marcada por dor intensa no peito causada por um suprimento inadequado de sangue para o coração.,0,0,0
39,2018-08-23 15:54:34,2018-12-19 12:37:29,Ankylosing Spondylitis,Espondilitis anquilosante,Espondilite anquilosante,http://placehold.it/200,,An inflammatory arthritis affecting the spine and large joints.,Artritis de carácter inflamatorio que afecta la columna vertebral y las articulaciones mayores de la estructura ósea.,Uma artrite inflamatória que afeta a coluna e grandes articulações.,0,0,0
40,2018-08-23 15:54:34,2019-06-12 09:13:59,Anorexia,Anorexia,Anorexia,http://placehold.it/200,,An emotional disorder characterized by an obsessive desire to lose weight by refusing to eat.,Trastorno emocional que se caracteriza por ƒun deseo obsesivo de pérdida de peso mediante el rechazo de comida.,Transtorno emocional caracterizado por um desejo obsessivo de perder peso ao se recusar a comer.,0,0,0
41,2018-08-23 15:54:34,2018-12-19 12:37:29,Anosmia,Anosmia,Anosmia,http://placehold.it/200,,"Loss of the sense of smell, usually caused by a nasal condition or brain injury.",Pérdida del olfato generalmente provocada por una condición médica nasal o daño cerebral.,"Perda do sentido do olfato, geralmente causada por uma condição nasal ou lesão cerebral.",0,0,0
42,2018-08-23 15:54:34,2018-12-19 12:37:29,Anthrax,Ántrax,Antraz,http://placehold.it/200,,"A rare but serious bacterial illness typically affecting livestock but can be spread to humans affecting the intestines, skin, or lungs.","Condición médica poco común de tipo bacteriano que perjudica generalmente al ganado, pero que puede propagarse a los seres humanos afectando el intestino, la piel o los pulmones.","Uma doença bacteriana rara, mas séria, que normalmente afeta o gado, mas pode se espalhar para os seres humanos, afetando o intestino, a pele ou os pulmões.",0,0,0
43,2018-08-23 15:54:34,2019-06-25 14:16:58,Anxiety,Ansiedad,Ansiedade,http://placehold.it/200,,"A mental health disorder characterized by feelings of worry, nervousness, or fear that are strong enough to interfere with one’s daily activities.","Trastorno de salud mental caracterizado por una sensación de desasosiego, nerviosismo o temor, lo suficientemente fuerte como para alterar las actividades diarias de la persona afectada.","Transtorno de saúde mental caracterizado por sentimentos de preocupação, nervosismo ou medo que são fortes o suficiente para interferir nas atividades diárias da pessoa.",0,0,0
44,2018-08-23 15:54:34,2018-12-19 12:37:29,Apathy,Apatía,Apatia,http://placehold.it/200,,"A lack of, absence, indifference, or suppression of emotion.","Carencia de interés, sentido de ausencia, indiferencia o falta de sentimiento.","Falta de, ausência, indiferença ou supressão de emoções.",0,0,0
45,2018-08-23 15:54:34,2019-06-12 09:13:59,Appetite (loss of),Apetito (pérdida del),Apetite (perda de),http://placehold.it/200,,Absence of the desire to eat.,Carencia de deseos de comer.,Ausência do desejo de comer.,0,0,0
46,2018-08-23 15:54:34,2018-12-19 12:37:29,Appetite (overactive),Appetito (excesivo),Excesso de apetite,http://placehold.it/200,,Excessive feelings of hunger. ,Hambre exagerada.,Sentimentos excessivos de fome.,0,0,0
47,2018-08-23 15:54:34,2018-12-19 12:37:29,ARDS,SDRA,SDRA,http://placehold.it/200,,"Acute Respiratory Distress Syndrome is a condition in which fluid collects in the lungs’ air sacs, depriving organs of oxygen.","Síndrome de dolor agudo al respirar. Constituye una condición médica en la que se presenta acumulación de líquidos en los alvéolos pulmonares, privando de oxígeno a los órganos.","A Síndrome da Angústia Respiratória Aguda é uma condição na qual o fluido se acumula nos sacos aéreos dos pulmões, privando órgãos de oxigênio.",0,0,0
48,2018-08-23 15:54:34,2018-12-19 12:37:29,Arrhythmia,Arritmia,Arritmia,http://placehold.it/200,,An irregularity in the strength or rhythm of the heartbeat.,Una irregularidad en la fuerza o el ritmo de los latidos del corazón.,Uma irregularidade na força ou ritmo do batimento cardíaco.,0,0,0
49,2018-08-23 15:54:34,2018-12-19 12:37:29,Arteriosclerosis,Arteriosclerosis,Arteriosclerose,http://placehold.it/200,,"A chronic disease involving the thickening and hardening of the walls of the arteries, occurring typically in old age.","Enfermedad crónica caracterizada por engrosamiento y endurecimiento de las paredes arteriales, que se presenta normalmente en edades avanzadas.","Doença crônica envolvendo o espessamento e endurecimento das paredes das artérias, ocorrendo tipicamente na velhice.",0,0,0
50,2018-08-23 15:54:34,2018-12-19 12:37:29,Arthritic Pain,Dolor por artritis,Dor artrítica,http://placehold.it/200,,"Inflammation and stiffness of the joints followed by pain, and swelling that can worsen with age.","Inflamación y rigidez de las articulaciones, seguido de dolor e hinchazón con probabilidad de empeoramiento con la edad.","Inflamação e rigidez das articulações, seguidas de dor e inchaço que podem piorar com a idade.",0,0,0
51,2018-08-23 15:54:34,2018-12-19 12:37:29,Arthritis (reactive),Artritis (reactiva),Artrite (reativa),http://placehold.it/200,,A chronic form of arthritic joint pain and swelling triggered by an infection.,Manifestación crónica de dolor e hinchazón artríticos desencadenada por una infección.,Uma forma crônica de dor artrítica nas articulações e inchaço desencadeada por uma infecção.,0,0,0
52,2018-08-23 15:54:34,2018-12-19 12:37:29,Asthma,Asma,Asma,http://placehold.it/200,,"A respiratory condition characterized by spasms in the bronchi of the lungs, causing difficulty in breathing. Typically results from an allergic reaction or other forms of hypersensitivity.",Condición médica respiratoria caracterizada por espasmos en los alvéolos pulmonares que provocan dificultad en la respiración. Generalmente es consecuencia de una reacción alérgica u otras formas de hipersensibilidad.,"Condição respiratória caracterizada por espasmos nos brônquios dos pulmões, causando dificuldade em respirar. Normalmente resulta de uma reação alérgica ou outras formas de hipersensibilidade.",0,0,0
53,2018-08-23 15:54:34,2018-12-19 12:37:29,Ataxia,Ataxia,Ataxia,http://placehold.it/200,,Loss of the full control to coordinate bodily muscular movement. ,Pérdida completa de la capacidad de coordinación del movimiento muscular orgánico.,Perda do controle total para coordenar o movimento muscular corporal.,0,0,0
54,2018-08-23 15:54:34,2018-12-19 12:37:29,Atherosclerosis,Aterosclerosis,Aterosclerose,http://placehold.it/200,,The increase of a waxy plaque on the inside of blood vessels.,El aumento de una placa cérea en el interior de los vasos sanguíneos.,O aumento de uma placa de cera no interior dos vasos sanguíneos.,0,0,0
55,2018-08-23 15:54:34,2019-06-12 09:14:00,Athlete’s Foot,Pie de atleta,Pé de atleta,http://placehold.it/200,,"A fungus infection that typically begins between the toes in which the skin starts cracking and peeling away, becoming itchy and sore.","Infección producida por hongos que generalmente comienza entre los dedos de los pies, sitio en que la piel comienza a agrietarse y a despellejar produciendo picazón y dolor.","Infecção por fungos que normalmente se inicia entre os dedos dos pés, nos quais a pele começa a rachar e a descamar, tornando-se irritada e dolorida.",0,0,0
56,2018-08-23 15:54:34,2018-12-19 12:37:29,Auditory Processing Disorder,Trastorno del procesamiento auditivo,Distúrbio do processamento auditivo,http://placehold.it/200,,"A disorder affecting the ability to understand speech in noisy environments, follow directions, and distinguish between similar sounds.","Trastorno que afecta la capacidad de comprensión de la expresión oral en lugares ruidosos, de seguir instrucciones y de distinguir sonidos parecidos.","Um distúrbio que afeta a capacidade de compreender a fala em ambientes ruidosos, seguir instruções e distinguir sons semelhantes.",0,0,0
57,2018-08-23 15:54:34,2018-12-19 12:37:29,Autism / Asperger’s,Autismo/Asperger,Autismo / Asperger,http://placehold.it/200,,"A serious developmental disorder, present from early childhood, that impairs the ability to communicate, interact, and regulate behavior.","Trastorno grave del desarrollo que se presenta en etapas tempranas de la niñez, que perjudica la capacidad de comunicación, de interacción y de moderación del comportamiento.","Um grave distúrbio do desenvolvimento, presente desde a infância, que prejudica a capacidade de se comunicar, interagir e regular o comportamento.",0,0,0
58,2018-08-23 15:54:34,2018-12-19 12:37:29,Autoimmune Disorder,Trastorno autoinmunitario,Transtorno Autoimune,http://placehold.it/200,,A disease in which the body’s immune system attacks healthy cells.,Enfermedad en la que el sistema inmunológico del organismo ataca células saludables.,Uma doença em que o sistema imunológico do corpo ataca as células saudáveis.,0,0,0
59,2018-08-23 15:54:34,2018-12-19 12:37:29,Autointoxication,Autointoxicación,Autointoxicação,http://placehold.it/200,,Poisoning by toxins or metabolic waste formed within the body itself.,Envenenamiento causado por toxinas o residuos metabólicos que se producen dentro del mismo organismo.,Envenenamento por toxinas ou resíduos metabólicos formados dentro do próprio corpo.,0,0,0
60,2018-08-23 15:54:34,2018-12-19 12:37:29,Avoidant Restrictive Food Intake Disorder,Trastorno de la ingesta restrictiva de alimento por evitación,Transtorno da ingestão alimentar restritivo/evitativo,http://placehold.it/200,,"A type of eating disorder where the consumption of certain foods is limited based on the food’s appearance, smell, taste, texture, or a past negative experience with the food. Previously known as selective eating disorder (SED).","Tipo de trastorno de la alimentación en el que el consumo de ciertos alimentos se ve limitado por la apariencia, olor, sabor y textura del alimento, o por una experiencia anterior negativa relacionada con él. Anteriormente se conocía como trastorno selectivo de la alimentación (SED en inglés).","Um tipo de transtorno alimentar em que o consumo de determinados alimentos é limitado com base na aparência, cheiro, sabor, textura ou experiência negativa do alimento com a comida. Anteriormente conhecido como transtorno alimentar seletivo (TAS)",0,0,0
61,2018-08-23 15:54:34,2018-12-19 12:37:29,Back Muscle Fatigue,Fatiga muscular de la espalda,Fadiga muscular nas costas,http://placehold.it/200,,A state of fatigue or loss of strength and/or muscle endurance following arduous activity associated with the accumulation of lactic acid in muscles.,Un estado de fatiga o pérdida de fuerza y/o resistencia muscular después de la actividad ardua asociada con la acumulación de ácido láctico en los músculos.,Estado de fadiga ou perda de força e/ou endurecimento muscular após atividade árdua associada ao acúmulo de ácido lático nos músculos.,0,0,0
62,2018-08-23 15:54:34,2019-06-19 04:26:56,Back Pain,Dolor de espalda,Dor nas costas,http://placehold.it/200,,A pain in the lumbar regions of the back varying in sharpness and intensity.,Dolor variable en intensidad y agudeza que se presenta en la región lumbar.,Uma dor nas regiões lombares das costas variando em agudeza e intensidade.,0,0,0
63,2018-08-23 15:54:34,2018-12-19 12:37:29,Back Stiffness,Rigidez en la espalda,Rigidez muscular nas costas,http://placehold.it/200,,"Persistent throbbing or stiffness anywhere along the spine, from the base of the neck to the tail bone.","Palpitación persistente o rigidez en cualquier parte de la columna vertebral, desde la base del cuello hasta el coxis.","Palpitação persistente ou rigidez em qualquer lugar ao longo da coluna, desde a base do pescoço até o cóccix.",0,0,0
64,2018-08-23 15:54:34,2018-12-19 12:37:29,Bacteria,Bacteria,Bactéria,http://placehold.it/200,,Single-celled microorganisms that can exist either as independent (free-living) organisms or as parasites (dependent on another organism for life) that thrive in diverse environments.,"Microorganismos unicelulares que pueden existir en forma independiente (autónoma) o como parásitos (dependencia de otros organismos para la subsistencia), y que prosperan en diferentes ambientes naturales.",Microrganismos unicelulares que podem existir como organismos independentes (de vida livre) ou como parasitas (dependentes de outro organismo para a vida) que prosperam em diversos ambientes.,0,0,0
65,2018-08-23 15:54:34,2018-12-19 12:37:29,Bags Under the Eyes,Bolsas debajo de los ojos,Bolsas embaixo dos olhos,http://placehold.it/200,,The appearance of mild swelling or puffiness in the tissues under the eyes caused by fluid buildup.,"Aparición de inflamación moderada o abultamiento del tejido bajo los ojos, provocada por la acumulación de líquidos.",Aparecimento de leve edema ou inchaço nos tecidos sob os olhos causado pelo acúmulo de fluido.,0,0,0
66,2018-08-23 15:54:34,2019-07-15 16:34:02,Balance Problems,Problemas de equilibrio,Problemas de equilíbrio,http://placehold.it/200,,"Symptoms include light-headedness to dizziness and may be caused by viral or bacterial infections in the ear, a head injury, or blood circulation disorders that affect the inner ear or brain.","Los síntomas incluyen desde un dolor de cabeza ligero hasta sensación de mareo, y puede ser causado por infecciones en el oído interno o el cerebro .","Os sintomas incluem vertigem e tontura e podem ser causados ​​por infecções virais ou bacterianas no ouvido, um ferimento na cabeça ou distúrbios da circulação sanguínea que afetam o ouvido interno ou o cérebro.",0,0,0
67,2018-08-23 15:54:34,2018-12-19 12:37:29,Baldness,Calvicie,Calvície,http://placehold.it/200,,Having little or no hair on the scalp.,Escasez o ausencia de cabello.,Ter pouco ou nenhum cabelo no couro cabeludo.,0,0,0
68,2018-08-23 15:54:34,2018-12-19 12:37:29,Basal Cell Carcinoma,Carcinoma de las células basales,Carcinoma Basocelular,http://placehold.it/200,,A slow-growing form of skin cancer with a low metastatic risk. It is the most common skin cancer.,Variedad de desarrollo lento de cáncer de piel con posibilidad baja de metástasis. Se trata de la forma más común de cáncer de piel.,Uma forma de crescimento lento de câncer de pele com baixo risco metastático. É o câncer de pele mais comum.,0,0,0
69,2018-08-23 15:54:34,2018-12-19 12:37:29,Bed Bugs,Chinches,Percevejos de cama,http://placehold.it/200,,"Small, oval, brownish parasitic insects that live on the blood of animals or humans.",Pequeños insectos parásitos de forma ovalada y color parduzco que se alimentan de la sangre de seres humanos y animales.,"Insetos parasitas pequenos, ovais, acastanhados que vivem do sangue de animais ou humanos.",0,0,0
70,2018-08-23 15:54:34,2018-12-19 12:37:29,Bed Sores,Úlceras por presión,Escaras,http://placehold.it/200,,A painful reddened area of ulcerated skin caused by pressure and lack of movement.,"Zona ulcerada, enrojecida y dolorosa de la piel, causada por continua presión y falta de movimiento.",Uma área dolorosa avermelhada de pele ulcerada causada por pressão e falta de movimento.,0,0,0
71,2018-08-23 15:54:34,2019-06-12 09:14:00,Bed-wetting,Enuresis (mojar la cama),Enurese,http://placehold.it/200,,Involuntary urination while asleep after the age at which bladder control typically happens.,Micción involuntaria durante el sueño luego de la edad en la que normalmente ocurre el control de la vejiga.,Micção involuntária durante o sono após a idade em que o controle da bexiga normalmente acontece.,0,0,0
72,2018-08-23 15:54:34,2018-12-19 12:37:29,Bee Sting,Picadura de abeja,Picada de abelha,http://placehold.it/200,,"An injury caused by the venom of bees, usually followed by swelling and pain.","Una lesión causada por el veneno de las abejas, por lo general seguida de inflamación y dolor.","Uma lesão causada pelo veneno das abelhas, geralmente seguida de inchaço e dor.",0,0,0
73,2018-08-23 15:54:34,2018-12-19 12:37:29,Bell’s Palsy,Parálisis de Bell,Paralisia de Bell,http://placehold.it/200,,"A weakness or paralysis of the muscles on one side of the face causing that side of the face to droop. Usually the result of a virus, respiratory, cranial, nerve or blood sugar issue.","Debilidad o parálisis de los músculos de un lado de la cara, haciendo que ésta parezca caída. Generalmente es resultado de un episodio de tipo viral, respiratorio, craneal, nervioso o de azúcar en la sangre.","Uma fraqueza ou paralisia dos músculos de um lado do rosto fazendo com que o lado do rosto caia. Normalmente, o resultado de um problema viral, respiratório, craniano, nervoso ou de açúcar no sangue.",0,0,0
74,2018-08-23 15:54:34,2018-12-19 12:37:29,Benign Prostatic Hyperplasia,Hiperplasia prostática benigna,Hiperplasia benigna da próstata,http://placehold.it/200,,A noncancerous case of the prostate that causes overgrowth of the prostate tissue and obstructing urination.,"Episodio no canceroso de la próstata, que provoca crecimiento exagerado de sus tejidos y obstrucción en la micción.",Um caso não canceroso de próstata que causa o crescimento excessivo do tecido da próstata e a obstrução da micção.,0,0,0
75,2018-08-23 15:54:34,2018-12-19 12:37:29,Binge Eating Disorder (BED),Trastorno por atracón (BED en inglés),Transtorno de compulsão alimentar (TCA),http://placehold.it/200,,"A serious eating disorder characterized by recurrent episodes of compulsively consuming unusually large amounts of food quickly and feeling unable to stop. A person with BED will not use compensatory behaviors, such as self-induced vomiting or over-exercising after binge eating. ","Grave trastorno de la alimentación, caracterizado por episodios recurrentes de consumo compulsivo rápido e irrefrenable de grandes cantidades de comida. Una persona que padezca BED no recurrirá a comportamientos compensatorios como vómito inducido o práctica exagerada de ejercicio físico.","Transtorno alimentar grave caracterizado por episódios recorrentes de consumo compulsivo de grandes quantidades de alimentos rapidamente e sensação de incapacidade de parar. Uma pessoa com TCA não usará comportamentos compensatórios, como vômito autoinduzido ou excesso de exercício após compulsão alimentar.",0,0,0
