id,description,Spanish,Portuguese
88,"Can be taken by all ages that can swallow capsules. If pregnant or lactating, women should consult a physician or healthcare provider before use.","Puede ser tomado por cualquier edad que pueda tragar cápsulas. En caso de embarazo o lactancia, las mujeres deben consultar a un médico o profesional de la salud antes de su uso.","Pode ser tomado por todas as idades que puderem engolir cápsulas. Se estiver grávida ou lactante, as mulheres devem consultar um médico ou profissional de saúde antes de usar."
89,For all ages. Gluten-free and non-GMO. Vegan-friendly.,Para todas las edades. Sin gluten y sin OMG. Adecuado para veganos.,Para todas as idades. Sem glúten e sem transgênicos. Vegano.
90,"Keep out of reach of small children. If pregnant or lactating, women should consult a physician or health care provider before use.","Mantenga este medicamento fuera del alcance de los niños pequeños. En caso de embarazo o lactancia, las mujeres deben consultar a un médico o a un profesional de la salud antes de su uso.","Mantenha fora do alcance de crianças pequenas. Se estiver grávida ou amamentando, as mulheres devem consultar um médico ou profissional de saúde antes de usar."
91,"Keep out of reach of small children, keep refrigerated after opening.","Mantenga este medicamento fuera del alcance de los niños pequeños, manténgase refrigerado después de abrirlo.","Manter fora do alcance de crianças pequenas, manter refrigerado após aberto."
92,For all ages. Gluten-free and non-GMO.,Para todas las edades. Sin gluten y sin OMG.,Para todas as idades. Sem glúten e sem transgênicos.
96,"Not for children. Keep out of reach of small children. Okay for men and women. If pregnant or lactating, women should consult a physician or healthcare provider before use.","No es para niños. Mantenga este medicamento fuera del alcance de los niños pequeños. Adecuado para hombres y mujeres. En caso de embarazo o lactancia, las mujeres deben consultar a un médico o profesional de la salud antes de su uso.","Não deve ser usado por crianças. Mantenha fora do alcance de crianças pequenas. Seguro para homens e mulheres. Se estiver grávida ou lactante, as mulheres devem consultar um médico ou profissional de saúde antes de usar."
98,"Be aware when using with small children, who can be prone to choking.","Tenga cuidado al usarlo con niños pequeños, que pueden ser propensos a atragantarse.","Esteja atento a crianças pequenas, que são propensas a engasgar."
101,"Keep out of reach of children. If you are pregnant, nursing, or under a doctor’s care, consult your physician.","Mantenga este medicamento fuera del alcance de los niños. En caso de estar embarazada, amamantando o bajo el cuidado de un médico‰Ûª, consulte a su médico.","Mantenha longe do alcance de crianças. Se estiver grávida, amamentando ou sob os cuidados de um médico, consulte seu médico."
103,Can be taken by all ages that can swallow capsules.,Puede ser tomado por cualquier edad que pueda tragar cápsulas.,Pode ser tomado por todas as idades que puderem engolir cápsulas.
104,The essential oil does not have the same skin-coloring and fabric staining properties or warning as powdered form. Can be toxic to plants.,El aceite esencial no presenta las mismas propiedades o advertencias de coloración de la piel y manchado de telas que la presentación en polvo. Puede ser tóxico para las plantas.,O óleo essencial não possui a mesma coloração da pele e propriedades de manchas de tecido ou aviso que a forma em pó. Pode ser tóxico para plantas.
105,Dilution recommended. Safe for Neat application.,Se recomienda diluir. Aplicación segura en estado PURO.,A diluição é recomendada. Seguro para aplicação de Neat.
106,"Dilution not required. Possible skin sensitivity. To reduce liver stress, use with detoxification blend, helichrysum, cumin, green mandarin, geranium, or Roman chamomile.","No se requiere diluir. Posible sensibilidad de la piel. Para reducir el estrés hepático, úselo con una mezcla de desintoxicación, helicriso, comino, mandarina verde, geranio o manzanilla romana.","Não é necessário diluir. Possível sensibilidade da pele. Para reduzir o estresse hepático, use com um mix de desintoxicação, helichrysum, cominho, tangerina verde, gerânio ou camomila romana."
