id,created_at,updated_at,uses_description,uses_application,sort_order,solutionable_type,solutionable_id,ailment_id,Spanish,Portuguese
11,12/19/18 12:36,2/12/19 16:18,"Apply 1-2 drops to the affected tooth, gums or the area(s) of concern.","[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",0,App\Oil,24,9,"Aplicar 1-2 gotas al diente afectado, las encías o las áreas de interés.","Aplique 1-2 gotas no dente afetado, nas gengivas ou na(s) área(s) de preocupação."
12,12/19/18 12:36,2/12/19 16:18,"Apply 1-2 drops to the affected tooth, gums or the area(s) of concern.","[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",3,App\Oil,32,9,"Aplicar 1-2 gotas al diente afectado, las encías o las áreas de interés.","Aplique 1-2 gotas no dente afetado, nas gengivas ou na(s) área(s) de preocupação."
13,12/19/18 12:36,2/12/19 16:18,"Apply 1-2 drops to the affected tooth, gums or the area(s) of concern.","[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",1,App\Oil,45,9,"Aplicar 1-2 gotas al diente afectado, las encías o las áreas de interés.","Aplique 1-2 gotas no dente afetado, nas gengivas ou na(s) área(s) de preocupação."
14,12/19/18 12:36,2/12/19 16:18,"Apply 1-2 drops to the affected tooth, gums or the area(s) of concern.","[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",2,App\Oil,62,9,"Aplicar 1-2 gotas al diente afectado, las encías o las áreas de interés.","Aplique 1-2 gotas no dente afetado, nas gengivas ou na(s) área(s) de preocupação."
15,12/19/18 12:36,2/12/19 16:18,"Apply 1-2 drops to the affected tooth, gums or the area(s) of concern.","[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",4,App\Blend,9,9,"Aplicar 1-2 gotas al diente afectado, las encías o las áreas de interés.","Aplique 1-2 gotas no dente afetado, nas gengivas ou na(s) área(s) de preocupação."
16,12/19/18 12:36,2/12/19 16:20,Apply 1-2 drops to the back of the neck and across the forehead. Inhale or diffuse.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",0,App\Oil,70,10,Aplicar 1-2 gotas en la parte posterior del cuello y en la frente. Inhalar o esparcir.,Aplique 1-2 gotas na parte de trás do pescoço ou na testa. Inspire ou use o difusor.
17,12/19/18 12:36,2/12/19 16:20,Apply 1-2 drops to the back of the neck and across the forehead. Inhale or diffuse.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",2,App\Oil,51,10,Aplicar 1-2 gotas en la parte posterior del cuello y en la frente. Inhalar o esparcir.,Aplique 1-2 gotas na parte de trás do pescoço ou na testa. Inspire ou use o difusor.
18,12/19/18 12:36,2/12/19 16:20,Apply 1-2 drops to the back of the neck and across the forehead. Inhale or diffuse.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",1,App\Oil,52,10,Aplicar 1-2 gotas en la parte posterior del cuello y en la frente. Inhalar o esparcir.,Aplique 1-2 gotas na parte de trás do pescoço ou na testa. Inspire ou use o difusor.
19,12/19/18 12:36,2/12/19 16:20,Apply 1-2 drops to the back of the neck and across the forehead. Inhale or diffuse.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",3,App\Oil,64,10,Aplicar 1-2 gotas en la parte posterior del cuello y en la frente. Inhalar o esparcir.,Aplique 1-2 gotas na parte de trás do pescoço ou na testa. Inspire ou use o difusor.
20,12/19/18 12:36,2/12/19 16:20,Apply 1-2 drops to the back of the neck and across the forehead. Inhale or diffuse.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",4,App\Blend,14,10,Aplicar 1-2 gotas en la parte posterior del cuello y en la frente. Inhalar o esparcir.,Aplique 1-2 gotas na parte de trás do pescoço ou na testa. Inspire ou use o difusor.
21,12/19/18 12:36,2/12/19 16:24,Apply 1-2 drops to the back of the neck and hears. Inhale or diffuse. Put one drop underneath the tongue.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":2}]",3,App\Oil,32,11,Aplicar 1-2 gotas en la parte posterior del cuello y las orejas. Inhalar o esparcir. Colocar una gota debajo de la lengua.,Aplique 1-2 gotas na parte de trás do pescoço e orelhas. Inspire ou use o difusor. Coloque uma gota debaixo da língua.
22,12/19/18 12:36,2/12/19 16:24,Apply 1-2 drops to the back of the neck and ears. Inhale or diffuse. Apply to the roof of the mouth and hold for 5-10 seconds,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":2}]",0,App\Oil,46,11,Aplicar 1-2 gotas en la parte posterior del cuello y en las orejas. Inhalar o esparcir. Aplicar en el paladar y sostenerlo durante 5-10 segundos.,Aplique 1-2 gotas na nuca e atrás das orelhas. Inspire ou use o difusor. Aplique no céu da boca e segure por 5-10 segundos
23,12/19/18 12:36,2/12/19 16:24,Apply 1-2 drops to the back of the neck and ears. Inhale or diffuse.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",1,App\Oil,55,11,Aplicar 1-2 gotas en la parte posterior del cuello y en las orejas. Inhalar o esparcir.,Aplique 1-2 gotas na nuca e atrás das orelhas. Inspire ou use o difusor.
24,12/19/18 12:36,2/12/19 16:24,Inhale or diffuse. Apply 1-2 drops to the back of the neck and ears.,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",2,App\Blend,10,11,Inhalar o esparcir. Aplicar 1-2 gotas en la parte posterior del cuello y en las orejas.,Inspire ou use o difusor. Aplique 1-2 gotas na nuca e atrás das orelhas.
25,12/19/18 12:36,12/19/18 12:36,Inhale or diffuse. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":true,""position"":0},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":999}]",4,App\Blend,18,11,Inhalar o esparcir. Aplicar 1-2 gotas al área de interés.,Inspire ou use o difusor. Aplique 1-2 gotas na área de interesse.
26,12/19/18 12:36,2/12/19 16:25,Apply 1-2 drops to the area(s) of concern.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",4,App\Oil,27,12,Aplicar 1-2 gotas a las áreas de interés.,Aplique 1-2 gotas na(s) área(s) de interesse.
27,12/19/18 12:36,2/12/19 16:25,Apply 1-2 drops to the area(s) of concern.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",2,App\Oil,52,12,Aplicar 1-2 gotas a las áreas de interés.,Aplique 1-2 gotas na(s) área(s) de interesse.
28,12/19/18 12:36,2/12/19 16:25,Apply 1-2 drops to the area(s) of concern.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",3,App\Oil,66,12,Aplicar 1-2 gotas a las áreas de interés.,Aplique 1-2 gotas na(s) área(s) de interesse.
29,12/19/18 12:36,2/12/19 16:25,Apply 1-2 drops to the area(s) of concern.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",1,App\Blend,19,12,Aplicar 1-2 gotas a las áreas de interés.,Aplique 1-2 gotas na(s) área(s) de interesse.
30,12/19/18 12:36,2/12/19 16:25,Apply 1-2 drops to the area(s) of concern.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",0,App\Blend,28,12,Aplicar 1-2 gotas a las áreas de interés.,Aplique 1-2 gotas na(s) área(s) de interesse.
31,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",1,App\Oil,31,13,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
32,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",3,App\Oil,34,13,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
33,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",4,App\Oil,40,13,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
34,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",2,App\Oil,52,13,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
35,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",0,App\Blend,12,13,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
36,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",3,App\Oil,31,14,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
37,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",1,App\Oil,36,14,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
38,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",2,App\Oil,40,14,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
39,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",4,App\Blend,8,14,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
40,12/19/18 12:36,1/8/19 17:20,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern. Dilute as necessary.,"[{""name"":""Internal"",""active"":true,""position"":0},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Aromatic"",""active"":false,""position"":2}]",0,App\Blend,11,14,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés. Diluir según sea necesario.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse. Dilua conforme necessário.
41,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",4,App\Oil,10,15,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
42,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area of concern. Take in a capsule or glass of water.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1}]",1,App\Oil,45,15,Aplicar 1-2 gotas al área de interés. Ingerir en una cápsula o con un vaso de agua.,Aplique 1-2 gotas na área de interesse. Tome em uma cápsula ou um copo de água.
43,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",2,App\Oil,57,15,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
44,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",3,App\Blend,34,15,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
45,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",0,App\Blend,27,15,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
46,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area of concern. Take in a capsule or glass of water.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1}]",0,App\Oil,32,16,Aplicar 1-2 gotas al área de interés. Ingerir en una cápsula o con un vaso de agua.,Aplique 1-2 gotas na área de interesse. Tome em uma cápsula ou um copo de água.
47,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",4,App\Oil,56,16,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
48,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area of concern. Take in a capsule or glass of water.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1}]",1,App\Blend,11,16,Aplicar 1-2 gotas al área de interés. Ingerir en una cápsula o con un vaso de agua.,Aplique 1-2 gotas na área de interesse. Tome em uma cápsula ou um copo de água.
49,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",2,App\Blend,15,16,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
50,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",3,App\Blend,22,16,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
51,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",2,App\Oil,32,17,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
52,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",4,App\Oil,33,17,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
53,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",1,App\Oil,39,17,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
54,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",3,App\Oil,57,17,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
55,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area(s) of concern and/or bottoms of feet.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",0,App\Blend,34,17,Aplicar 1-2 gotas a las áreas de interés o en las plantas de los pies.,Aplique 1-2 gotas na(s) área(s) de preocupação e/ou na sola dos pés.
56,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area of concern. Inhale or diffuse.,"[{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",1,App\Oil,39,18,Aplicar 1-2 gotas al área de interés. Inhalar o esparcir.,Aplique 1-2 gotas na área de interesse. Inspire ou use o difusor.
57,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area of concern. Inhale or diffuse.,"[{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",2,App\Oil,64,18,Aplicar 1-2 gotas al área de interés. Inhalar o esparcir.,Aplique 1-2 gotas na área de interesse. Inspire ou use o difusor.
58,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area of concern. Inhale or diffuse.,"[{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",3,App\Blend,13,18,Aplicar 1-2 gotas al área de interés. Inhalar o esparcir.,Aplique 1-2 gotas na área de interesse. Inspire ou use o difusor.
59,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area of concern. Inhale or diffuse.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Internal"",""active"":false,""position"":999}]",0,App\Blend,14,18,Aplicar 1-2 gotas al área de interés. Inhalar o esparcir.,Aplique 1-2 gotas na área de interesse. Inspire ou use o difusor.
60,12/19/18 12:36,12/19/18 12:36,Apply 1-2 drops to the area of concern. Inhale or diffuse.,"[{""name"":""Aromatic"",""active"":true,""position"":1},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",4,App\Blend,22,18,Aplicar 1-2 gotas al área de interés. Inhalar o esparcir.,Aplique 1-2 gotas na área de interesse. Inspire ou use o difusor.
61,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",3,App\Oil,12,19,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
62,12/19/18 12:36,12/19/18 12:36,"Take 1-2 drops in a capsule, in a glass of water, or under the tongue.","[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":true,""position"":0}]",2,App\Oil,14,19,"Ingerir 1-2 gotas en una cápsula, con un vaso de agua o debajo de la lengua.","Tome 1-2 gotas em uma cápsula, em um copo de água ou debaixo da língua."
63,12/19/18 12:36,12/19/18 12:36,"Take 1-2 drops in a capsule, in a glass of water, or under the tongue.","[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":true,""position"":0}]",4,App\Oil,71,19,"Ingerir 1-2 gotas en una cápsula, con un vaso de agua o debajo de la lengua.","Tome 1-2 gotas em uma cápsula, em um copo de água ou debaixo da língua."
64,12/19/18 12:36,12/19/18 12:36,"Take 1-2 drops in a capsule, in a glass of water, or under the tongue.","[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":false,""position"":999},{""name"":""Internal"",""active"":true,""position"":0}]",0,App\Oil,25,19,"Ingerir 1-2 gotas en una cápsula, con un vaso de agua o debajo de la lengua.","Tome 1-2 gotas em uma cápsula, em um copo de água ou debaixo da língua."
