id,name,Spanish,Portuguese
83,"Stomach Comfort Blend of ginger root extract, peppermint extract and caraway seed extract","Relajante estomacal, mezcla de extracto de raíz de jengibre, extracto de menta y extracto de alcaravea","Mistura de conforto estomacal de extrato de raiz de gengibre, extrato de hortelã-pimenta e extrato de semente de cominho"
84,Protease,Proteasa,Protease
85,Papain,Papaína,Papaína
86,Amylase,Amilasa,Amilase
87,Lipase,Lipasa,Lipase
88,Lactase,Lactasa,Lactase
89,Alpha Galactosidase,Alfa Galactosidasa,Alfa galactosidase
90,Cellulase,Celulasa,Celulase
91,Sucrase,Sucrase,Sacarose
92,Anti-Gluten Enzyme Blend,Mezcla de Enzimas Anti-Gluten,Mistura de enzimas antiglúten
93,Glucoamylase,Glucoamilasa,Glicoamilase
94,Betaine HCL,Betaína HCL,Betaine HCL
95,"Digestion blend of peppermint leaf, ginger root, caraway seed","Mezcla digestiva de hoja de menta, raíz de jengibre, semilla de alcaravea","Mistura digestiva de folha de hortelã-pimenta, raiz de gengibre, semente de cominho"
96,Green Powder Blend,Mezcla de polvo verde,Mistura de vegetais em pó
97,Grass Powder Blend,Mezcla de polvo de césped,Mistura de gramíneas em pó
98,Fruit Powder Blend,Mezcla de frutas en polvo,Mistura de frutas em pó
99,Lemon Peel and Ginger Root Essential Oils,Aceites esenciales de cáscara de limón y raíz de jengibre,Óleo essencial de casca de limão siciliano e raiz de gengibre
100,Oregano,,
101,Melaleuca,,
102,Lemon,,
103,Lemongrass,,
104,Peppermint,,
105,Thyme,,
106,EPA,AAE,EPA
107,DHA,DHA,DHA
108,Essential oils blend & Wild Orange,Mezcla de aceites esenciales y naranja salvaje,Mistura de óleos essenciais e laranja lima
109,Protein Blend (Whey protein isolate and egg white protein),Mezcla de proteínas (aislado de proteína de suero de leche y proteína de clara de huevo),Mistura de proteínas (proteína isolada de soro de leite e proteína da clara de ovo)
110,"Fiber Blend (Non-GMO soluble corn fiber, xanthan gum, citrus fiber, tara gum, oligofructose)","Mezcla de fibra (Fibra de maíz soluble no transgénica, goma xantana, fibra cítrica, goma de tara, oligofructosa)","Mistura de fibras (fibra de milho solúvel não transgênico, goma xantana, fibra cítrica, goma de tara, oligofrutose)"
111,Ashwagandha root/leaf extract,Extracto de raíz/hoja de Ashwagandha,Extrato de raiz/raiz de Ashwagandha
112,Potato Protein Powder,Proteína de papa en polvo,Proteína de batata em pó
113,Vitamin and mineral blend,Mezcla de vitaminas y minerales,Mistura de vitaminas e minerais
114,"Protein Blend (Pea protein, quinoa, and amaranth)","Mezcla de proteínas (proteína de guisante, quinua y amaranto)","Mistura de proteínas (Proteína de ervilha, quinoa e amaranto)"
115,"Fiber Blend (Non-GMO soluble corn fiber, xanthan gum, citrus fiber, tara gum, oligofructose)","Mezcla de fibra (Fibra de maíz soluble no transgénica, goma xantana, fibra cítrica, goma de tara, oligofructosa)","Mistura de fibras (fibra de milho solúvel não transgênico, goma xantana, fibra cítrica, goma de tara, oligofrutose)"
116,Ashwagandha root/leaf extract,Extracto de raíz/hoja de Ashwagandha,Extrato de raiz/raiz de Ashwagandha
117,Potato Protein Powder,Proteína de papa en polvo,Proteína de batata em pó
118,Vitamin and mineral blend,Mezcla de vitaminas y minerales,Mistura de vitaminas e minerais
119,Lemon,,
120,Lavender,,
121,Peppermint,,
122,"Fish oil (from Anchovy, Sardine, Mackerel, and Calamari) concentrate","Concentrado de aceite de pescado (de anchoa, sardina, caballa y calamar)","Concentrado de óleo de peixe (de anchova, sardinha, cavala e calamari)"
123,Echium plantagineum Seed Oil,"Buglosa, aceite de semillas",Óleo de semente de Echium plantagineum
124,Pomegranate seed oil,Aceite de semillas de granada,Óleo de semente de romã
125,Vitamin A (as Alpha and Beta carotene),Vitamina A (como alfa y beta caroteno),Vitamina A (como alfa e beta-caroteno)
126,Vitamin D3 (as natural Cholecalciferol),Vitamina D3 (como colecalciferol natural),Vitamina D2 (como colecalciferol natural)
127,Vitamin E,Vitamina E,Vitamina E
128,Astaxanthin,Astaxantina,Astaxantina
129,Lutein,Luteína,Luteína
130,Zeaxanthin,Zeaxantina,Zeaxantina
131,Essential Oil Blend,Mezcla de aceites esenciales,Mistura de óleo essencial
132,Lavender,,
133,L-Theanine,L-Tianina,L-teanina
134,Lemon Balm,Bálsamo de limón,Erva-cidreira
135,Passion Flower,Flor de la pasión,Passiflora
136,Chamomile,Manzanilla,Camomila
137,Flax seed oil,Aceite de linaza,Óleo de semente de linho
138,Algae oil (DHA),Aceite de algas (DHA),Óleo de algas (DHA)
139,Inca Inchi seed oil,Aceite de semilla del Inca Inchi,Óleo de semente de Inca Inchi
140,Borage seed oil,Aceite de semilla de borraja,Óleo de semente de borragem
141,Cranberry seed oil,Aceite de semillas de arándano,Óleo de semente de amora
142,Pomegranate seed oil,Aceite de semillas de granada,Óleo de semente de romã
143,Pumpkin seed oil,Aceite de semilla de calabaza,Óleo de semente de abóbora
144,Grape seed oil,Aceite de semilla de uva,Óleo de semente de uva
145,Natural Vitamin E,Vitamina E natural,Vitamina E natural
146,Astaxanthin,Astaxantina,Astaxantina
147,Lutein,Luteína,Luteína
148,Zeazanthin,Zeazanthin,Zeazantina
149,Lycopene,Licopeno,Licopeno
150,Alpha and Beta carotene,Alfa y beta caroteno,Alfa e beta-caroteno
151,Essential Oil Blend,Mezcla de aceites esenciales,Mistura de óleo essencial
152,Laurel leaf,Hoja de laurel,Folha de louro
153,Cardamom,,
154,Peppermint,,
155,Eucalyptus,,
156,Melaleuca,,
157,Lemon,,
158,Ravensara,,
159,Genistein (soy extract),Genisteína (extracto de soja),Genisteína (extrato de soja)
160,Flax seed extract (lignans),Extracto de semilla de lino (lignanos),Extrato de semente de linho (lignanas)
161,Pomegranate extract,Extracto de granada,Extrato de romã
162,Wild Orange,,
163,Clove,,
164,Cinnamon,,
165,Eucalyptus,,
166,Rosemary,,
167,Myrrh,,
168,Organic cane juice,Jugo de caña orgánico,Suco de cana orgânico
169,Organic brown rice syrup,Jarabe de arroz integral ecológico,Xarope de arroz integral orgânico
170,Frankincense (Boswellia serrata) gum resin extract,Extracto de resina de incienso (Boswellia serrata),Extrato de resina de Olíbano (Boswellia serrata)
171,Curcumin,Curcumina,Curcumina
172,Ginger root extract,Extracto de raíz de jengibre,Extrato de raiz de gengibre
173,Green Tea Leaf extract (caffeine-free),Extracto de hoja de té verde (sin cafeína),Extrato de folha de chá verde (sem cafeína)
174,Pomegranate Fruit extract,Extracto de granada,Extrato de romã
175,Grape Seed extract,Extracto de semilla de uva,Extrato de semente de uva
176,Resveratrol,Resveratrol,Resveratrol
177,"Digestion blend of peppermint leaf, ginger root, caraway seed","Mezcla digestiva de hoja de menta, raíz de jengibre, semilla de alcaravea","Mistura digestiva de folha de hortelã-pimenta, raiz de gengibre, semente de cominho"
