id,created_at,updated_at,name,image_url,color,emotion_1,emotion_2,emotion_3,fact,is_featured,safety_information_id,page_number,sort_order,Spanish Fact,Portuguese Fact,descriptor Spanish 1,descriptor Spanish 2,descriptor Spanish 3,descriptor Portuguese 1,descriptor Portuguese 2,descriptor Portuguese 3
18,2018-08-28 12:23:52,2018-12-05 14:54:48,Elevation™,blends/70967f67eff68d3316acadb14feda444.jpeg,EAA941,Happy,Citrus,Sweet,Use this blend to energize both body and mind.,0,37,184,0,Use esta mezcla para energizar tanto el cuerpo como la mente.,Use esta mistura para energizar tanto o corpo quanto a mente.,Feliz,Cítricos,Doce,Feliz,Cítrico,Dulce
19,2018-08-28 12:23:52,2018-12-05 14:54:48,AromaTouch®,blends/2dc7fd783e3871ba589458c4e7ae7605.jpeg,54C4B4,Relieving,Renewing,Circulating,"This blend encourages muscle tissue healing, relaxes and soothes muscles, and enhances blood flow.",0,37,185,0,"Esta mezcla estimula la cicatrización del tejido muscular, relaja y alivia los músculos y mejora el flujo sanguíneo.","Esta mistura incentiva a recuperação do tecido muscular, relaxa e acalma os músculos e melhora a circulação sanguínea.",Aliviar,Renovar,Circular,Mitigante,Renovador,Circulante
20,2018-08-28 12:23:52,2018-12-05 14:54:48,Slim & Sassy®,blends/d268cab93ca2f09c0944c0c2ec03a4b3.jpeg,F96A81,Cleansing,Spicy,Refreshing,Reducing cravings and balancing blood sugar are important steps for weight loss.,0,37,187,0,Reducir los antojos y equilibrar el azúcar en la sangre son pasos importantes para perder peso.,A redução de compulsão e o equilíbrio do açúcar no sangue são passos importantes para a perda de peso.,Limpeza,Picante,Refrescante,Limpiador,Aromático,Refrescante
21,2018-08-28 12:23:52,2018-12-05 14:54:48,On Guard®,blends/94377de25c7eb540979ba88c4e2a58a2.jpeg,C23013,Spicy,Supportive,Warming,A strong immunity combats viral and bacterial threats to the body. Use this blend to keep your family healthy.,0,73,188,0,Tener una inmunidad fuerte combate las amenazas virales y bacterianas contra el cuerpo. Use esta mezcla para mantener a su familia saludable.,Uma imunidade forte combate as ameaças viral e bacteriana ao corpo. Use esta mistura para manter a sua família saudável.,Picante,Solidário,Reconfortar,Aromático,Fortalecedor,Cálido
22,2018-08-28 12:23:52,2018-12-05 14:54:48,Peace®,blends/d4ac62f7e72ff2763f9de35aff6f9500.jpeg,3F8ED9,Brave,Composed,Flowing,"No matter what is happening in life, this blend helps release fear and worry and brings a sense of safety and security to heal.",0,27,189,0,"No importa lo que esté pasando en la vida, esta mezcla ayuda a liberar el miedo y la preocupación y trae una sensación de seguridad y protección para sanar.","Não importa o que estiver acontecendo na vida, esta mistura ajuda a liberar medo e preocupações e traz um senso de segurança para a recuperação.",Corajoso,Composto,Fluindo,Valeroso,Sereno,Fluido
23,2018-08-28 12:23:52,2018-12-05 14:54:48,Forgive®,blends/89eaf038aeeeece122542c29d0b5ed88.jpeg,8DBF5D,Relieving,Releasing,Liberate,"Whether you are feeling stubborn, attached, guilty, bitter, angry or judgmental, this blend invites you to let go, trust the process of life, and be renewed.",0,73,190,0,"Ya sea que usted se sienta obstinado, preocupado, culpable, amargado, enojado o prejuicioso, esta mezcla es una buena manera de liberarse, confiar en el proceso de la vida y ser renovado.","Independente de você se sentir teimoso, apegado, culpado, amargo, zangado ou crítico, esta mistura convida você a deixar partir, confiar no processo da vida e ficar renovado.",Aliviar,Liberar,Libertar,Mitigante,Liberador,Libera
24,2018-08-28 12:23:52,2018-12-05 14:54:48,TerraShield®,blends/4d50ad1b66c9848910d56d75d353d9c6.jpeg,4E7A14,Guarding,Repellent,Sweet,"A toxic-free alternative to guard against bugs and pests. Fractionated coconut oil helps the blend stay on the skin longer, prolonging its effect",0,2,191,0,"Una alternativa libre de tóxicos para prevenir insectos y plagas. El aceite de coco fraccionado ayuda a que la mezcla se conserve en la piel durante más tiempo, prolongando su efecto.","Uma alternativa livre de tóxicos para proteção contra insetos e pestes. O óleo de coco fracionado ajuda esta mistura a permanecer na pele por mais tempo, prolongando o seu efeito.",Defender,Repelente,Doce,Protector,Repelente,Dulce
25,2018-08-28 12:23:52,2018-12-05 14:54:48,Breathe®,blends/c7d05bf27fb6eca2b4a4ef4c5f72ce44.jpeg,6CACF6,Airy,Expanding,Supportive,Healthy airflow and oxygen supplies bring life and energy with each breath. Enjoy a restful sleep with this blend.,0,73,192,0,El flujo de aire saludable y los suministros de oxígeno aportan vida y energía con cada respiración. Disfrute de un sueño reparador con esta mezcla.,O fornecimento saudável de fluxo de ar e oxigênio traz vida e energia a cada respiração. Desfrute de um sono reparador com esta mistura.,Arejado,Expansivo,Solidário,Vaporosa,Descongestionante,Fortalecedor
26,2018-08-28 12:23:52,2019-02-10 16:06:41,Serenity®,blends/a303ab8ecb83ac77fc0dd79748b9ac68.jpeg,8F48A8,Sweet,Warm,Calming,"Create a tranquil feeling and immediately transport yourself to a state of blissful repose by calming the mind and emotions, soothing the senses, and supporting a restful sleep with this grounding aroma.",0,2,193,0,"Obtenga una sensación de tranquilidad y transpórtese inmediatamente a un estado de reposo placentero relajando la mente y las emociones, calmando los sentidos y apoyando un sueño reparador con este aroma consolidador.","Crie um sentimento de tranquilidade e transporte-se imediatamente para um estado de repouso feliz, acalmando a mente e as emoções e os sentidos e dando apoio a um sono restaurador com este aroma de base.",Doce,Quente,Acalmar,Dulce,Cálido,Calmante
27,2018-08-28 12:23:52,2018-12-05 14:54:48,HD Clear®,blends/6351b816d0519fcbb723c2d1d07ee76f.jpeg,039E6B,Cleansing,Clear,Sweet,This blend is cleansing and calming to the skin. It reduces two components that encourage acne: bacteria and inflammation.,0,2,194,0,Esta mezcla limpia y reconforta la piel. Reduce dos componentes que favorecen el acné: las bacterias y la inflamación.,Esta mistura é refrescante e calmante para a pele. Ela reduz dois componentes que estimulam a acne: bactéria e inflamação.,Limpeza,Claro,Doce,Limpiador,Claro,Dulce
28,2018-08-28 12:23:52,2018-12-05 14:54:48,Deep Blue®,blends/0afd4a5d54204546ca040b0a50df2d1b.jpeg,22428E,Minty,Athletic,Cooling,A toxic-free substitute for topical ointments and creams. This blend naturally reduces pain and inflammation.,0,2,195,0,Un sustituto libre de tóxicos para ungüentos y cremas tópicas. Esta mezcla reduce naturalmente el dolor y la inflamación.,Um substituto livre de tóxicos para pomadas e cremes. Esta mistura reduz a dor e a inflamação de modo natural.,Conscieência,Atlético,Resfriar,Mentolado,Atlético,Refrescante
29,2018-08-28 12:23:52,2018-12-05 14:54:48,PastTense®,blends/c9da25d8b7e45fa44c691a532e88bd5e.jpeg,7D68B3,Relieving,Renewing,Awakening,Tension is the cause of many neurological complaints including headaches. This blend relieves tension and increases blood flow.,0,2,197,0,"La tensión es la causa de muchas dolencias neurológicas, incluyendo dolores de cabeza. Esta mezcla alivia la tensión y aumenta el flujo sanguíneo.","A tensão é a causa de muitas reclamações neurológicas, incluindo dores de cabeça. Esta mistura alivia a tensão e aumenta a circulação sanguínea.",Aliviar,Renovar,Despertar,Mitigante,Renovador,Espiritual
30,2018-08-28 12:23:52,2018-12-05 14:54:48,Cheer®,blends/0e0b2cb1bd598ebdb4d4036de82cf883.jpeg,FCCB0B,Gladdening,Illuminating,Resilient,"Go from discouraged, distressed or disinterested to an uplifted and resilient state of mind with this blend.",0,73,198,0,"Pase de un estado de ánimo desmotivado, angustiado o desinteresado a un estado de ánimo optimista y resilente con esta mezcla.","Saia de um estado de mente desanimado, desestressado ou desinteressado para um estado de mente animado e resiliente com esta mistura.",Alegrar,Edificar,Resiliente,Exultante,Iluminador,Resiliente
31,2018-08-28 12:23:52,2018-12-05 14:54:48,ClaryCalm®,blends/f9146cd82a0626ce2298ec98ef3ecd25.jpeg,7D68B3,Floral,Warm,Calming,This gentle and safe blend brings harmony by balancing and stabilizing hormones.,0,60,199,0,Esta mezcla suave y segura aporta armonía al equilibrar y estabilizar las hormonas.,Esta mistura gentil e segura traz harmonia ao equilibrar e estabilizar os hormônios.,Floral,Quente,Acalmar,Floral,Cálido,Calmante
33,2018-08-29 00:47:36,2019-01-08 17:10:15,Align®,blends/c24d0fd72a47429b50db23d249381e84.jpeg,911322,Trusting,Fluid,Accepting,"Affirmation statement: I know, accept and am true to myself.",1,60,166,0,"Declaración de afirmación: Lo sé, acepto y soy fiel a mí mismo.","Afirmação: Eu me conheço, me aceito e sou verdadeiro comigo.",Confiante,Fluido,Receptivo,Confiable,Líquido,Tolerante
34,2018-08-29 06:06:10,2018-12-05 14:54:48,Immortelle,blends/f3ad2bc2c58dc6aeda950c1587c380c8.jpeg,A0DC5F,Regenerating,Youthful,Replenishing,A beautiful blend with time-honored essential oils for radiant skin.,0,2,163,0,Una mezcla maravillosa con aceites esenciales tradicionales para una piel radiante.,Uma linda mistura com óleos essenciais consagrados para uma pele radiante.,Regenerar,Vigoroso,Reabastecer,Regenerador,Juvenil,Renovador
35,2018-08-29 20:45:44,2018-12-05 14:54:48,Beautiful®,blends/215ace7cfe337c4bc139227fcae8cae8.jpeg,22428E,Alluring,Exquisite,Lovely,Replace synthetic perfumes with natural essential oils to support a healthier lifestyle and hormones.,1,60,164,0,Reemplace los perfumes sintéticos con aceites esenciales naturales para apoyar un estilo de vida más saludable y las hormonas.,Substitua os perfumes sintéticos pelos óleos essenciais para dar apoio a um estilo de vida e a hormônios mais saudáveis.,Sedutor,Requintado,Adorável,Atractivo,Exquisito,Agradable
36,2018-08-29 20:48:19,2018-12-05 14:54:48,Brave™,blends/03626be8b5474242bf6ce812dfe375f9.jpeg,F56A2F,Empowering,Assuring,Invigorating,"Children’s blends are uniquely formulated to offer younger users a positive essential oil introduction by using milder aromas and careful plant selection to avoid unnecessary sensitization in immature, thin skin and smaller bodies. Intentional early introduction is the perfect way to empower children to safely learn personal application methods and experience the power of healthy, nurturing touch and gentle massage with caregivers.",1,60,167,0,Las mezclas para niños están formuladas exclusivamente para ofrecer a los usuarios más jóvenes una introducción positiva de aceites esenciales mediante el uso de aromas más suaves y una cuidadosa selección de plantas para evitar la sensibilización innecesaria en pieles jóvenes y delgadas y en cuerpos más pequeños. La introducción temprana intencional es la manera perfecta de capacitar a los niños para que aprendan de manera segura los métodos de aplicación personal y experimenten el poder de un tacto saludable y afectuoso y un masaje suave con los cuidadores.,"As misturas para as crianças são formuladas unicamente para oferecer aos consumidores jovens uma introdução positiva de óleo essencial, utilizando aromas mais suaves e uma seleção cuidadosa de plantas para evitar sensibilização em peles imaturas, finas e em corpos menores. A introdução precoce intencional é a forma perfeita para empoderar as crianças a aprender métodos de aplicação pessoais e vivenciar o poder do toque saudável e acolhedor e da massagem gentil dos cuidadores.",Capacitante,Assegurar,Revigorante,Empoderador,Tranquilizador,Vigorizante
37,2018-08-29 20:50:16,2018-12-05 14:54:48,Thinker™,blends/d87c89e4ca1750f1cef783949fd423ab.jpeg,FAC800,Anchoring,Enlivening,Signaling,"Children’s blends are uniquely formulated to offer younger users a positive essential oil introduction by using milder aromas and careful plant selection to avoid unnecessary sensitization in immature, thin skin and smaller bodies. Intentional early introduction is the perfect way to empower children to safely learn personal application methods and experience the power of healthy, nurturing touch and gentle massage with caregivers.",1,60,168,0,Las mezclas para niños están formuladas exclusivamente para ofrecer a los usuarios más jóvenes una introducción positiva de aceites esenciales mediante el uso de aromas más suaves y una cuidadosa selección de plantas para evitar la sensibilización innecesaria en pieles jóvenes y delgadas y en cuerpos más pequeños. La introducción temprana intencional es la manera perfecta de capacitar a los niños para que aprendan de manera segura los métodos de aplicación personal y experimenten el poder de un tacto saludable y afectuoso y un masaje suave con los cuidadores.,"As misturas para as crianças são formuladas unicamente para oferecer aos consumidores jovens uma introdução positiva de óleo essencial, utilizando aromas mais suaves e uma seleção cuidadosa de plantas para evitar sensibilização em peles imaturas, finas e em corpos menores. A introdução precoce intencional é a forma perfeita para empoderar as crianças a aprender métodos de aplicação pessoais e vivenciar o poder do toque saudável e acolhedor e da massagem gentil dos cuidadores.",Ancorar,Animar,Sinalizar,Fijador,Vivficante,Sintomático
38,2018-08-29 20:52:16,2018-12-05 14:54:48,Steady™,blends/4f17b85d6931e156e473586fb4e88345.jpeg,2D7828,Balancing,Steadying,Quieting,"Children’s blends are uniquely formulated to offer younger users a positive essential oil introduction by using milder aromas and careful plant selection to avoid unnecessary sensitization in immature, thin skin and smaller bodies. Intentional early introduction is the perfect way to empower children to safely learn personal application methods and experience the power of healthy, nurturing touch and gentle massage with caregivers.",1,2,169,0,Las mezclas para niños están formuladas exclusivamente para ofrecer a los usuarios más jóvenes una introducción positiva de aceites esenciales mediante el uso de aromas más suaves y una cuidadosa selección de plantas para evitar la sensibilización innecesaria en pieles jóvenes y delgadas y en cuerpos más pequeños. La introducción temprana intencional es la manera perfecta de capacitar a los niños para que aprendan de manera segura los métodos de aplicación personal y experimenten el poder de un tacto saludable y afectuoso y un masaje suave con los cuidadores.,"As misturas para as crianças são formuladas unicamente para oferecer aos consumidores jovens uma introdução positiva de óleo essencial, utilizando aromas mais suaves e uma seleção cuidadosa de plantas para evitar sensibilização em peles imaturas, finas e em corpos menores. A introdução precoce intencional é a forma perfeita para empoderar as crianças a aprender métodos de aplicação pessoais e vivenciar o poder do toque saudável e acolhedor e da massagem gentil dos cuidadores.",Equilibrar,Estabilizante,Acalmar,Equilibrante,Estabilizador,Tranquilizante
39,2018-08-29 20:54:34,2018-12-05 14:54:48,Stronger™,blends/bfb0c382ed1a4135ae4aad989912f9f0.jpeg,C23013,Fortifying,Shielding,Boosting,"Children’s blends are uniquely formulated to offer younger users a positive essential oil introduction by using milder aromas and careful plant selection to avoid unnecessary sensitization in immature, thin skin and smaller bodies. Intentional early introduction is the perfect way to empower children to safely learn personal application methods and experience the power of healthy, nurturing touch and gentle massage with caregivers.",1,2,170,0,Las mezclas para niños están formuladas exclusivamente para ofrecer a los usuarios más jóvenes una introducción positiva de aceites esenciales mediante el uso de aromas más suaves y una cuidadosa selección de plantas para evitar la sensibilización innecesaria en pieles jóvenes y delgadas y en cuerpos más pequeños. La introducción temprana intencional es la manera perfecta de capacitar a los niños para que aprendan de manera segura los métodos de aplicación personal y experimenten el poder de un tacto saludable y afectuoso y un masaje suave con los cuidadores.,"As misturas para as crianças são formuladas unicamente para oferecer aos consumidores jovens uma introdução positiva de óleo essencial, utilizando aromas mais suaves e uma seleção cuidadosa de plantas para evitar sensibilização em peles imaturas, finas e em corpos menores. A introdução precoce intencional é a forma perfeita para empoderar as crianças a aprender métodos de aplicação pessoais e vivenciar o poder do toque saudável e acolhedor e da massagem gentil dos cuidadores.",Fortificante,Blindar,Impulsionar,Vigorizante,Protector,Estimulante
40,2018-08-29 20:55:43,2018-12-05 14:54:48,Calmer™,blends/4dbf11bb0647bda5d9a89ad4089c4e61.jpeg,8F48A8,Pacifying,Relaxing,Unwinding,"Children’s blends are uniquely formulated to offer younger users a positive essential oil introduction by using milder aromas and careful plant selection to avoid unnecessary sensitization in immature, thin skin and smaller bodies. Intentional early introduction is the perfect way to empower children to safely learn personal application methods and experience the power of healthy, nurturing touch and gentle massage with caregivers.",1,2,171,0,Las mezclas para niños están formuladas exclusivamente para ofrecer a los usuarios más jóvenes una introducción positiva de aceites esenciales mediante el uso de aromas más suaves y una cuidadosa selección de plantas para evitar la sensibilización innecesaria en pieles jóvenes y delgadas y en cuerpos más pequeños. La introducción temprana intencional es la manera perfecta de capacitar a los niños para que aprendan de manera segura los métodos de aplicación personal y experimenten el poder de un tacto saludable y afectuoso y un masaje suave con los cuidadores.,"As misturas para as crianças são formuladas unicamente para oferecer aos consumidores jovens uma introdução positiva de óleo essencial, utilizando aromas mais suaves e uma seleção cuidadosa de plantas para evitar sensibilização em peles imaturas, finas e em corpos menores. A introdução precoce intencional é a forma perfeita para empoderar as crianças a aprender métodos de aplicação pessoais e vivenciar o poder do toque saudável e acolhedor e da massagem gentil dos cuidadores.",Pacificar,Relaxante,Desanuviar,Tranquilizante,Relajante,Relajante
41,2018-08-29 20:57:48,2018-12-05 14:54:48,Rescuer™,blends/e20f99036f261762585752afe3883b36.jpeg,22428E,Alleviating,Calming,Comforting,"Children’s blends are uniquely formulated to offer younger users a positive essential oil introduction by using milder aromas and careful plant selection to avoid unnecessary sensitization in immature, thin skin and smaller bodies. Intentional early introduction is the perfect way to empower children to safely learn personal application methods and experience the power of healthy, nurturing touch and gentle massage with caregivers.",1,2,172,0,Las mezclas para niños están formuladas exclusivamente para ofrecer a los usuarios más jóvenes una introducción positiva de aceites esenciales mediante el uso de aromas más suaves y una cuidadosa selección de plantas para evitar la sensibilización innecesaria en pieles jóvenes y delgadas y en cuerpos más pequeños. La introducción temprana intencional es la manera perfecta de capacitar a los niños para que aprendan de manera segura los métodos de aplicación personal y experimenten el poder de un tacto saludable y afectuoso y un masaje suave con los cuidadores.,"As misturas para as crianças são formuladas unicamente para oferecer aos consumidores jovens uma introdução positiva de óleo essencial, utilizando aromas mais suaves e uma seleção cuidadosa de plantas para evitar sensibilização em peles imaturas, finas e em corpos menores. A introdução precoce intencional é a forma perfeita para empoderar as crianças a aprender métodos de aplicação pessoais e vivenciar o poder do toque saudável e acolhedor e da massagem gentil dos cuidadores.",Aliviar,Acalmar,Confortar,Atenuante,Calmante,Reconfortante
42,2018-08-29 21:00:14,2019-01-16 08:54:19,Arise™,blends/adc4238bffe6b82337ab06cdd1ebc9e5.jpeg,00B0D9,Rising,Connecting,Aligning,Affirmation statement: I am one with the divine.,1,60,178,0,Declaración de afirmación: Me identifico con lo maravilloso.,Afirmação: Eu sou único com o divino.,Subir,Conectar,Alinhar,De crecimiento,De conexión,Equilibrante
43,2018-08-29 21:02:45,2018-12-05 14:54:48,Holiday Joy®,blends/39f6f7c79f7aa48a58dcebe9911cf462.jpeg,AB1123,Festive,Warming,Spicy,This blend inspires the joy of the holidays while also stimulating immunity.,0,73,181,0,Esta mezcla inspira la alegría de las vacaciones al mismo tiempo que estimula la inmunidad.,Esta mistura inspira a alegria das férias ao mesmo tempo que estimula a imunidade.,Festivo,Reconfortar,Picante,Alegre,Cálido,Aromático
44,2018-08-29 21:05:08,2018-12-05 14:54:48,Amavi®,blends/ec9a3032dcd892d678ccb11a52745d65.jpeg,FF7519,Strengthening,Woody,Fearless,Replacing colognes that are made using synthetic chemicals with essential oils is a great way to choose to live a healthier lifestyle.,0,2,186,0,Reemplazar las colonias hechas con productos químicos sintéticos por aceites esenciales es una buena manera de elegir un estilo de vida más saludable.,Substituir as colônias feitas com produtos químicos sintéticos por óleos essenciais é uma forma ótima para escolher viver um estilo de vida mais saudável.,Fortalecer,Amadeirado,Destemido,Fortalecedor,Amaderado,Valiente
45,2018-08-29 21:07:08,2019-01-16 08:51:43,Anchor®,blends/e235aedf8ad680705a87185e6526c825.jpeg,56C7B6,Stabilizing,Harmonizing,Centering,Affirmation statement: I am living who I really am.,1,2,196,0,Declaración de afirmación: Estoy viviendo lo que realmente soy.,Afirmação: Eu estou vivendo quem eu realmente sou.,Estabilizar,Harmonizar,Centralizar,Estabilizador,Amonizador,Equilibrante
46,2018-08-29 22:43:32,2018-12-05 14:54:48,Whisper®,blends/de333db4505fc19d9e0b5758aa1d57a3.jpeg,7FC8F0,Fresh,Balancing,Cleansing,Each woman’s unique body chemistry makes the scent of this blend her own.,0,60,200,0,La química corporal única de cada mujer permite que el aroma de esta mezcla sea propio.,A química do corpo de cada mulher é única e torna sua a fragrância desta mistura.,Fresco,Equilibrar,Limpeza,Fresco,Equilibrante,Limpiador
