id,name,Ingredient Portuguese,ingredient Spanish
380,1 cup orange juice,1 xícara de suco de laranja,1 taza de jugo de naranja
381,1/2 cup lemon juice,1/2 xícara de suco de limão,1/2 taza de jugo de limón
382,1/2 cup chopped pineapple,1/2 xícara de abacaxi picado,1/2 taza de piña picada
383,1 tbsp raw honey,1 colher de sopa de mel cru,1 cdta. de miel pura
384,1 tbsp coconut oil,1 colher de sopa de óleo de coco,1 cdta. de aceite de coco
385,1 piece ginger or 1-2 drops of ginger,1 pedaço de gengibre ou 1-2 gotas de gengibre,1 trocito de jengibre o 1-2 gotas de jengibre
386,1/4 tsp cayenne pepper,1/4 de colher de chá de pimenta caiena,1/4 cdta. de pimienta roja
390,10 drops invigorating blend,10 gotas do mix revigorante,10 gotas de mezcla tonificante
393,5 drops grounding blend,5 gotas do mix para aterramento,5 gotas de mezcla de base
394,5 drops restful blend,5 gotas do mix para serenidade,5 gotas de mezcla apacible
395,10 drops lime,10 gotas de limão,5 gotas de lima
398,5 drops black pepper,5 gotas de pimenta preta,5 gotas de pimienta negra
399,18 drops marjoram or thyme,18 gotas de manjerona ou tomilho,18 gotas de mejorana o tomillo
400,12 drops geranium,12 gotas de gerânio,12 gotas de geranio
401,12 drops lavender,12 gotas de lavanda,12 gotas de lavanda
402,8 drops eucalyptus,8 gotas de eucalipto,8 gotas de eucalipto
404,¼ cup cocoa butter ,1/4 xícara de manteiga de cacau,¼ taza de mantequilla de cacao
405,¼ cup coconut oil ,1/4 xícara de óleo de coco,¼ taza de aceite de coco
406,20 drops lavender ,20 gotas de lavanda,20 gotas de lavanda
407,6 drops Douglas fir,6 gotas de abeto de Douglas,6 gotas de abeto douglas
408,6 drops cedarwood,6 gotas de cedro,6 gotas de cedro
410,1/2 cup honey,1/2 xícara de mel,1/2 taza de miel
411,8 drops peppermint,8 gotas de hortelã-pimenta,8 gotas de menta
413,8 drops lavender,8 gotas de lavanda,8 gotas de lavanda
425,7 drops frankincense,7 gotas de olíbano,7 gotas de incienso
426,6 drops Siberian fir,6 gotas de abeto siberiano,6 gotas de abeto siberiano
428,11 drops helichrysum,11 gotas de immortelle,11 gotas de helicriso
433,4 drops Siberian fir,4 gotas de abeto siberiano,4 gotas de abeto siberiano
436,10 drops turmeric,10 gotas de açafrão,10 gotas de cúrcuma
437,2 drops spikenard,2 gotas de nardo,2 gotas de nardo
440,4 drops turmeric,4 gotas de açafrão,4 gotas de cúrcuma
445,8 ml jojoba,8 ml de jojoba,8 ml de jojoba
449,1 drop coriander,1 gota de coentro,1 gota de semilla de cilantro
473,2 drops Slim & Sassy®,2 gotas de Slim & Sassy®,2 gotas de Slim & Sassy®
482,2-3 drops peppermint,2-3 gotas de hortelã-pimenta,2-3 gotas de menta
483,2-3 drops Slim & Sassy®,2-3 gotas de Slim & Sassy®,2-3 gotas de Slim & Sassy®
485,2-3 drops peppermint or beadlets,2-3 gotas de hortelã-pimenta ou grânulos,2-3 gotas de menta o cápsulas
487,1 drop black pepper,1 gota de pimenta preta,1 gota de pimienta negra
491,Wintergreen,Wintergreen,Gaulteria
494,Deep Blue® rub,Esfregar Deep Blue®,Loción de Deep Blue®
495,6 drops Roman chamomile,6 gotas de camomila romana,6 gotas de manzanilla romana
496,4 drops geranium,4 gotas de gerânio,4 gotas de geranio
499,15 drops lavender,15 gotas de lavanda,15 gotas de lavanda
500,15 drops geranium,15 gotas de gerânio,15 gotas de geranio
501,15 drops melaleuca,15 gotas de tea tree,15 gotas de melaleuca
502,15 drops myrrh,15 gotas de mirra,10 gotas de mirra
503,15 drops oregano,15 gotas de orégano,15 gotas de orégano
515,Phytoestrogen Complex,Complexo Fitoestrogênico,Complejo fitoestrógeno
516,2-3 drops geranium,2-3 gotas de gerânio,2-3 gotas de geranio
517,16 drops grapefruit,16 gotas de toranja,16 gotas de toronja
518,Spikenard,Nardo,Nardo
521,2-3 drops copaiba,2-3 gotas de copaíba,2-3 gotas de copaiba
522,2-3 drops marjoram,2-3 gotas de manjerona,2-3 gotas de mejorana
526,9 drops ClaryCalm®,9 gotas de ClaryCalm®,9 gotas de ClaryCalm®
527,9 drops lavender,9 gotas de lavanda,9 gotas de lavanda
528,12 drops tangerine,12 gotas de tangerina,12 gotas de mandarina
533,5 drops Slim & Sassy®,5 gotas de Slim & Sassy®,5 gotas de Slim & Sassy®
534,3 drops Zendocrine®,3 gotas de Zendocrine®,3 gotas de Zendocrine®
535,1-2 capsules TerraZyme®,1-2 cápsulas de TerraZyme®,1-2 cápsulas de TerraZyme®
538,TrimShake®,TrimShake®,TrimShake®
539,TrimShake® Vegan,TrimShake® Vegano,TrimShake® vegano
543,30 drops grapefruit,30 gotas de toranja,30 gotas de toronja
546,20 drops peppermint,20 gotas de hortelã-pimenta,20 gotas de menta
547,10 drops bergamot,10 gotas de bergamota,10 gotas de bergamota
548,4 drops spearmint,4 gotas de hortelã,4 gotas de hierbabuena
550,15 drops basil,15 gotas de manjericão,15 gotas de albahaca
551,15 drops marjoram,15 gotas de manjerona,15 gotas de mejorana
554,1-3 drops grapefruit,1-3 gotas de toranja,1-3 gotas de toronja
555,1-3 drops kumquat,1-3 gotas de laranja quincã,1-3 gotas de quinoto
561,1 teaspoon carrier oil,1 colher de chá de óleo carreador,1 cucharadita de aceite portador
562,1-2 drops grapefruit,1-2 gotas de toranja,1-2 gotas de toronja
567,7 drops bergamot,7 gotas de bergamota,7 gotas de bergamota
568,7 drops grapefruit,7 gotas de toranja,7 gotas de toronja
569,5 drops blue tansy,5 gotas de tanaceto azul,5 gotas de tanaceto azul
570,5 drops wild orange,5 gotas de laranja lima,5 gotas de naranja silvestre
571,5 drops ylang ylang,5 gotas de ylang ylang,5 gotas de ylang ylang
572,12 drops lemon,12 gotas de limão siciliano,12 gotas de limón
574,4 drops cypress,4 gotas de cipreste,4 gotas de ciprés
576,7 drops green mandarin,7 gotas de mandarina verde,7 gotas de mandarina verde
578,7 drops Serenity®,7 gotas de Serenity®,7 gotas de Serenity®
579,7 drops Roman chamomile,7 gotas de camomila romana,7 gotas de manzanilla romana
581,5 drops Serenity®,5 gotas de Serenity®,5 gotas de Serenity®
583,7 drops wild orange,7 gotas de laranja lima,7 gotas de naranja silvestre
584,8 drops lavender (OR Serenity®),8 gotas de lavanda (OU Serenity®),8 gotas de lavanda (o Serenity®)
586,2 drops ylang ylang,2 gotas de ylang ylang,2 gotas de ylang ylang
588,10 drops Balance®,10 gotas de Balance®,10 gotas de Balance®
590,1 drop spearmint,1 gota de hortelã,1 gota de hierbabuena
591,1 drop neroli,1 gota de néroli,1 gota de neroli
592,9 drops sandalwood,9 gotas de sândalo,9 gotas de sándalo
595,10 drops Citrus Bliss®,10 gotas de Citrus Bliss®,10 gotas de Citrus Bliss®
596,10 drops Deep Blue®,10 gotas de Deep Blue®,10 gotas de Deep Blue®
597,3 drops Serenity®,3 gotas de Serenity®,3 gotas de Serenity®
599,2 drops PastTense®,2 gotas de PastTense®,2 gotas de PastTense®
600,4 drops Serenity®,4 gotas de Serenity®,4 gotas de Serenity®
601,4 drops PastTense®,4 gotas de PastTense®,4 gotas de PastTense®
602,4 drops ginger,4 gotas de gengibre,4 gotas de jengibre
603,6 drops wild orange,6 gotas de laranja lima,6 gotas de naranja silvestre
607,5 drops patchouli,5 gotas de patchouli,5 gotas de pachuli
610,20 drops Serenity®,20 gotas de Serenity®,20 gotas de Serenity®
611,10 drops vetiver,10 gotas de vetiver,10 gotas de vetiver
613,3 drops juniper berry,3 gotas de bagas zimbro,3 gotas de enebro
614,3 drops Balance®,3 gotas de Balance®,3 gotas de Balance®
615,3 drops vetiver,3 gotas de vetiver,3 gotas de vetiver
616,3 drops patchouli,3 gotas de patchouli,3 gotas de pachuli
621,1 drop cedarwood,1 gota de cedro,1 gota de cedro
626,8 drops Serenity®,8 gotas de Serenity®,8 gotas de Serenity®
629,1-3 drops Balance®,1-3 gotas de Balance®,1-3 gotas de Balance®
630,1-3 drops Serenity®,1-3 gotas de Serenity®,1-3 gotas de Serenity®
631,3 drops DDR Prime®,3 gotas de DDR Prime®,3 gotas de DDR Prime®
635,1 drop copaiba,1 gota de copaíba,1 gota de copaiba
636,3 drops frankincense,3 gotas de olíbano,3 gotas de incienso
638,1 tbsp jojoba oil,1 colher de sopa de óleo de jojoba,1 cdta. de aceite de jojoba
641,5 drops peppermint,5 gotas de hortelã-pimenta,5 gotas de menta
643,"6-7 drops Slim & Sassy® (includes lemon, grapefruit, ginger, and cinnamon)","6-7 gotas de Slim & Sassy® (inclui limão siciliano, toranja, gengibre e canela)","6-7 gotas de Slim & Sassy® (incluye limón, toronja, jengibre y canela)"
644,Micoplex VMz®,Micoplex VMz®,Micoplex VMz®
666,1 tbsp fractionated coconut oil,1 colher de sopa de óleo de coco fracionado,1 cdta. de aceite de coco fraccionado
671,3-5 drops favorite citrus oil,3-5 gotas do óleo cítrico favorito,3-5 gotas de aceite del cítrico favorito
673,Helichrysum (or lemongrass),Immortelle (ou capim limão),Helicriso (o lemongrass)
676,Deep Blue® (or wintergreen or birch),Deep Blue® (ou wintergreen ou bétula),Deep Blue® (o gaulteria o abedul)
678,Clove (or thyme),Cravo (ou tomilho),Clavo (o tomillo)
685,Birch (or wintergreen),Bétula (ou wintergreen),Abedul (o gaulteria)
705,1 drop Siberian fir,1 gota de abeto siberiano,1 gota de abeto siberiano
707,3-4 drops cypress,3-4 gotas de cipreste,3-4 gotas de ciprés
708,3-4 drops coriander,3-4 gotas de coentro,3-4 gotas de semilla de cilantro
709,3-4 drops Deep Blue®,3-4 gotas de Deep Blue®,3-4 gotas de Deep Blue®
710,1-2 drops cassia or cinnamon,1-2 gotas de cássia ou canela,1-2 gotas de casia o canela
713,ClaryCalm®,ClaryCalm®,ClaryCalm®
720,20 drops Deep Blue®,20 gotas de Deep Blue®,20 gotas de Deep Blue®
728,Vetiver,Vetiver,Vetiver
729,1-3 tsp virgin coconut oil,1-3 colheres de chá de óleo de coco virgem,1-2 cdta. de aceite de coco virgen
732,Immortelle®,Immortelle®,Immortelle®
738,a2z Chewable™,a2z Chewable™,a2z Chewable™
740,PB Assist®,PB Assist®,PB Assist®
741,IQ Mega®,IQ Mega®,IQ Mega®
743,"Cypress, oregano, or wintergreen","Cipreste, orégano ou wintergreen","Ciprés, orégano o gaulteria"
744,Juniper berry or wintergreen,Bagas de zimbro ou wintergreen,Enebro o gaulteria
745,Lime,Limão,Lima
749,TerraShield®,TerraShield®,TerraShield®
750,15 drops lemongrass,15 gotas de capim limão,15 gotas de lemongrass
751,15 drops helichrysum,15 gotas de immortelle,15 gotas de helicriso
752,10 drops basil,10 gotas de manjericão,10 gotas de albahaca
756,10 drops copaiba,10 gotas de copaíba,10 gotas de copaiba
758,GX Assist®,GX Assist®,GX Assist®
765,"Lemongrass, thyme, or oregano","Capim limão, tomilho ou orégano","Lemongrass, tomillo u orégano"
769,1 drop thyme,1 gota de tomilho,1 gota de tomillo
773,1/2 cup aluminum-free baking soda,½ xícara de bicarbonato de sódio sem alumínio,1/2 taza de bicarbonato sin aluminio
774,3 tbsp fractionated coconut oil,3 colheres de sopa de óleo de coco fracionado,3 cdta. de aceite de coco fraccionado
777,3 drops geranium,3 gotas de gerânio,3 gotas de geranio
778,2 drops turmeric,2 gotas de açafrão,2 gotas de cúrcuma
780,1-2 tsp carrier oil,1-2 colheres de chá de óleo carreador,1-2 cdta. de aceite portador
784,12 drops white fir,12 gotas de abeto branco,12 gotas de abeto blanco
786,6 drops patchouli,6 gotas de patchouli,6 gotas de pachuli
787,6 drops thyme,6 gotas de tomilho,6 gotas de tomillo
790,10 drops clove or 9 drops lemongrass,10 gotas de cravo ou 9 gotas de capim limão,10 gotas de clavo o 9 gotas de lemongrass
791,"15 drops frankincense, melaleuca or myrrh","15 gotas de olíbano, tea tree e mirra","15 gotas de incienso, melaleuca o mirra"
793,3 drops cassia,3 gotas de cássia,3 gotas de casia
795,1 drop melissa or 4 drops OnGuard®,1 gota de melissa ou 4 gotas de OnGuard®,1 gota de melisa o 4 gotas de OnGuard®
798,1 tsp vinegar,1 colher de chá de vinagre,1 cda. de vinagre
799,1 cup warm water,1 xícara de água morna,1 taza de agua tibia
807,1-3 drops turmeric,1-3 gotas de açafrão,1-3 gotas de cúrcuma
808,1-3 drops lemongrass,1-3 gotas de capim limão,1-3 gotas de lemongrass
810,3 drops cypress,3 gotas de cipreste,3 gotas de ciprés
816,10 drops cypress,10 gotas de cipreste,10 gotas de ciprés
817,1-3 drops frankincense,1-3 gotas de olíbano,1-3 gotas de incienso
820,5 drops basil,5 gotas de manjericão,5 gotas de albahaca
821,3 drops Breathe®,3 gotas de Breathe®,3 gotas de Breathe®
823,5-10 drops Breathe®,5-10 gotas de Breathe®,5-10 gotas de Breathe®
825,3-5 drops On Guard®,3-5 gotas de On Guard®,3-5 gotas de On Guard®
826,12 drops helichrysum,12 gotas de immortelle,12 gotas de helicriso
827,12 drops ylang ylang,12 gotas de ylang ylang,12 gotas de ylang ylang
828,8 drops cassia,8 gotas de cássia,8 gotas de casia
829,1 drop cardamom,1 gota de cardamomo,1 gota de cardamomo
831,2 drops lime,2 gotas de limão,2 gotas de lima
832,8 drops frankincense,8 gotas de olíbano,8 gotas de incienso
833,8 drops marjoram,8 gotas de manjerona,8 gotas de mejorana
834,11 drops cypress,11 gotas de cipreste,11 gotas de ciprés
836,2 tbsp carrier oil,2 colheres de sopa de óleo carreador,2 cda. de aceite portador
843,"2-3 drops grapefruit, lemon, tangerine, and/or wild orange","2-3 gotas de toranja, limão siciliano, tangerina e/ou laranja lima","2-3 gotas de toronja, limón, mandarina y/o naranja silvestre"
844,Zendocrine® Complex,Complexo Zendocrine®,Complejo Zendocrine®
846,"2-3 drops cilantro, geranium, grapefruit, rosemary","2-3 gotas de coentro, gerânio, toranja, alecrim","2-3 gotas de cilantro, geranio, toronja y romero"
847,"2 drops helichrysum, 2 drops Zendocrine®","2 gotas de immortelle, 2 gotas de Zendocrine®","2 gotas de helicriso, 2 gotas de Zendocrine®"
849,4 drops DDR Prime®,4 gotas de DDR Prime®,4 gotas de DDR Prime®
852,"2-3 drops clove, grapefruit, lavender, or DDR Prime®","2-3 gotas de cravo, toranja, lavanda ou DDR Prime®","2-3 gotas de clavo, toronja, lavanda o DDR Prime®"
853,OnGuard®,OnGuard®,OnGuard®
857,3 drops white fir,3 gotas de abeto branco,3 gotas de abeto blanco
859,2 drops grapefruit,2 gotas de toranja,2 gotas de toronja
860,10 drops HD Clear®,10 gotas de HD Clear®,10 gotas de HD Clear®
861,Aloe vera gel,Gel de aloe vera,Gel de aloe vera
862,6 drops Breathe®,6 gotas de Breathe®,6 gotas de Breathe®
863,4 drops clove,4 gotas de cravo,4 gotas de clavo
864,4 drops myrrh,4 gotas de mirra,4 gotas de mirra
869,6 drops clove,6 gotas de cravo,6 gotas de clavo
871,15 drops frankincense,15 gotas de olíbano,15 gotas de incienso
872,5 drops myrrh,5 gotas de mirra,5 gotas de mirra
873,6 drops geranium,6 gotas de gerânio,6 gotas de geranio
878,2 tbsp shea butter,2 colheres de sopa de manteiga de karité,2 cdta. de mantequilla de karité
879,4 drops cinnamon,4 gotas de canela,4 gotas de canela
881,3 drops thyme,3 gotas de tomilho,3 gotas de tomillo
883,2 drops jasmine or ylang ylang,2 gotas de jasmim ou ylang ylang,2 gotas de jazmín o ylang ylang
884,8 drops lavender or Serenity®,8 gotas de lavanda ou Serenity®,8 gotas de lavanda o Serenity®
886,1 drop Citrus Bliss®,1 gota de Citrus Bliss®,1 gota de Citrus Bliss®
889,1-2 drops cilantro,1-2 gotas de coentro,1-2 gotas de semilla de cilantro
890,1-2 drops cypress,1-2 gotas de cipreste,1-2 gotas de ciprés
894,1 drop geranium or dill,1 gota de gerânio ou endro,1 gotas de geranio o eneldo
895,2 tbsp almond oil,2 colheres de sopa de oléo de amêndoas,2 cdta. de aceite de almendra
896,1 drop melaleuca or lemon,1 gota de tea tree ou limão siciliano,1 gota de melaleuca o limón
898,1 drop cedarwood & sandalwood,1 gota de cedro e sândalo,1 gota de cedro o sándalo
